,,,,,"Bubblelift","Lawfuldog","Jake","binhmighty","Runhesaid","Bubzee","maplemeow","Primitive","Tom Selleck","Mariodela#2657","xPowerful1x","BlinkFoxBOOM#1279","YAYmaster","Lifexshort","Kilbuddy","docoa","Qwerty97","comeback","Kitkatz#1390","pnc","OHTEE#1720","Vandoom#1987","Franswazy","Ryder","jakaso27#1154","DUBS","Fresh","SamWynn","DerpyTroller","FamousOsprey","Fenom","Mago","Slysssa","EvanEvanEvan","Adarics"
1,"Acherus Veteran",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1,"Argent Squire",68,97.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,"Cold Blood",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Deadly Poison",69,98.6%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1,"Dire Mole",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Fire Fly",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Glacial Shard",2,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1,"Southsea Deckhand",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Young Dragonhawk",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Blink Fox",58,82.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,2,1,2,
3,"Demolisher",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Edwin VanCleef",9,25.7%,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,1,,,1
3,"Fan of Knives",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Gluttonous Ooze",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3,"Hench-Clan Thug",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Ironbeak Owl",31,44.3%,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,1,,,,,,,1,2,2,2,,2,2,,2
3,"King Mukla",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
3,"Marsh Drake",2,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,"Ravencaller",2,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,"SI:7 Agent",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tanglefur Mystic",2,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
3,"Tar Creeper",54,77.1%,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,,
3,"Vicious Fledgling",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Captain Greenskin",5,14.3%,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,
5,"Cobalt Scalebane",45,64.3%,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,,,2,
5,"Frostwolf Warlord",1,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,"Fungalmancer",67,95.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
5,"Leeroy Jenkins",34,97.1%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
5,"Vilespine Slayer",70,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,"Baku the Mooneater",35,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
