,,,,,"Enji Todoroki"
1,"The Last Kaleidosaur",1,100.0%,,1
2,"Equality",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Plated Beetle",2,100.0%,,2
2,"Potion of Heroism",2,100.0%,,2
2,"Sound the Bells!",2,100.0%,,2
2,"Vicious Scalehide",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
3,"Stonehill Defender",2,100.0%,,2
3,"Zola the Gorgon",1,100.0%,,1
4,"Consecration",2,100.0%,,2
5,"Call to Arms",2,100.0%,,2
5,"Faceless Manipulator",1,100.0%,,1
5,"Harrison Jones",1,100.0%,,1
6,"Spikeridged Steed",2,100.0%,,2
6,"Sunkeeper Tarim",1,100.0%,,1
7,"Lynessa Sunsorrow",1,100.0%,,1
8,"Tirion Fordring",1,100.0%,,1
9,"Uther of the Ebon Blade",1,100.0%,,1
