,,,,,"Deebo","Franswazy","Acseacse","MrJPickles","GamerPanda","ironFIRE","BloodHunter#1290","Zaros","CapnCrunch#1396","Shigg","Enji Todoroki"
1,"Awaken the Makers",11,100.0%,,1,1,1,1,1,1,1,1,1,1,1
1,"Chameleos",5,45.5%,,,,,1,1,1,1,1,,,
1,"Crystalline Oracle",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
2,"Bloodmage Thalnos",11,100.0%,,1,1,1,1,1,1,1,1,1,1,1
2,"Doomsayer",1,9.1%,,,,,,,,,,,,1
2,"Loot Hoarder",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
2,"Mind Blast",2,9.1%,,,,,,,,,,,2,
2,"Plated Beetle",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Visions",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
2,"Spirit Lash",20,90.9%,,2,2,2,2,2,2,2,2,2,2,
3,"Devilsaur Egg",1,9.1%,,,,,,,,,,,,1
3,"Gluttonous Ooze",2,18.2%,,,,,,1,,,,,,1
3,"Mirage Caller",1,9.1%,,,,,,,,,,,,1
3,"Shadow Word: Death",11,50.0%,,1,1,1,1,1,2,1,1,,1,1
3,"Twilight Acolyte",1,9.1%,,,,,,,,1,,,,
3,"Twilight's Call",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
3,"Zola the Gorgon",11,100.0%,,1,1,1,1,1,1,1,1,1,1,1
4,"Duskbreaker",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
4,"Spiritsinger Umbra",1,9.1%,,,,,,,,,,1,,
5,"Elise the Trailblazer",1,9.1%,,,,,,,,,1,,,
5,"Rotten Applebaum",21,95.5%,,2,2,2,2,1,2,2,2,2,2,2
6,"Bone Drake",15,68.2%,,2,2,2,1,1,1,1,2,2,,1
7,"Archbishop Benedictus",11,100.0%,,1,1,1,1,1,1,1,1,1,1,1
7,"Psychic Scream",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
8,"Primordial Drake",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
8,"Shadowreaper Anduin",11,100.0%,,1,1,1,1,1,1,1,1,1,1,1
9,"Alexstrasza",8,72.7%,,1,1,1,1,1,,,,1,1,1
10,"Mind Control",9,81.8%,,1,1,1,1,1,1,1,,1,1,
