,,,,,"Enji Todoroki","Ultimate","OnlyOneJob","killinallday#1537","Tarei"
0,"Preparation",10,100.0%,,2,2,2,2,2
0,"Shadowstep",10,100.0%,,2,2,2,2,2
1,"Glacial Shard",10,100.0%,,2,2,2,2,2
1,"Southsea Deckhand",10,100.0%,,2,2,2,2,2
1,"Stonetusk Boar",10,100.0%,,2,2,2,2,2
1,"The Caverns Below",5,100.0%,,1,1,1,1,1
1,"Wax Elemental",4,40.0%,,2,2,,,
2,"Cheat Death",6,60.0%,,,,2,2,2
2,"Novice Engineer",10,100.0%,,2,2,2,2,2
2,"Sap",2,40.0%,,1,1,,,
2,"Vicious Scalehide",10,100.0%,,2,2,2,2,2
2,"Youthful Brewmaster",10,100.0%,,2,2,2,2,2
3,"Fan of Knives",2,40.0%,,1,1,,,
3,"Mimic Pod",10,100.0%,,2,2,2,2,2
3,"Phantom Militia",6,60.0%,,,,2,2,2
3,"Sonya Shadowdancer",5,100.0%,,1,1,1,1,1
3,"Zola the Gorgon",5,100.0%,,1,1,1,1,1
4,"Elven Minstrel",10,100.0%,,2,2,2,2,2
6,"Vanish",10,100.0%,,2,2,2,2,2
9,"Valeera the Hollow",5,100.0%,,1,1,1,1,1
