,,,,,"Insom","TeamAmerica","Ryder","Atlas","Sintherius","Hotform#11346","Fenom","MrJones","Jasm","Elyk","BoarControl#2986","DerpyTroller","Zapgaze","jakaso27#1154","korextron#1532","HotMEOWTH","Ouate","Outcry","Nostam","Frodan","Justsaiyan","Bloody","shoop","Hero","Qwerty97","Matroid","icer","CoreExit","Doubtless","Broshy","firemadness#1586","Freohr","mackenseize#1346","Mugibaby","Pokerox","Kazghar","Ryuksapple","Casual#1852","Floofys","keyo","pikapwner#1850","Nated4444","Specialist#11921","Mrmajiin","CapnCrunch#1396","Catdestroyer","laxlie","croinosis","xPowerful1x","Sneakyche#1872","masongos#1906","Glaser#2196","Fenomeno","Snow#15541","Alliestrasza","Fluffy","FamousOsprey","Professor_R","Stauros","Crest Memepaste","DoubleDos #1434"
1,"Fire Fly",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,"Fire Plume's Heart",61,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"Shield Slam",58,47.5%,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,2,,1,1,1,1,1,1,1,2,2,2,2,1,2
1,"Whirlwind",27,22.1%,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,,,,,,
2,"Armorsmith",2,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
2,"Battle Rage",22,18.0%,,,,,,,,,,,,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,
2,"Cornered Sentry",99,81.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,,2,2,,,,,,1,,2,2,2,2,2,2,2,2,2,2,2,1,,
2,"Drywhisker Armorer",116,95.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,
2,"Execute",114,93.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,"Slam",80,65.6%,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,,2,1,2,2,2,2,2,2,,1,1,1,1,1,1,,,2,1,2,
2,"Warpath",120,98.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,"Acolyte of Pain",106,86.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Blackwald Pixie",4,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2
3,"Fiery War Axe",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Gluttonous Ooze",14,23.0%,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,1,1,1,,,,1,,,1,,,1,1,1,,,,,,,,,,,,1,,,,1
3,"Ironbeak Owl",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Mind Control Tech",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Mindbreaker",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Phantom Militia",122,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Reckless Flurry",11,9.0%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,2,1,,,,,,,,,,1,,
3,"Shield Block",121,99.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Stonehill Defender",122,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",96,78.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,1,1,1,1,1,1,,2,2,1,,2
4,"Blood Razor",120,98.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
4,"Militia Commander",12,9.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,
4,"Saronite Chain Gang",108,88.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,,2,,2,
4,"Spellbreaker",2,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
5,"Brawl",122,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Direhorn Hatchling",12,9.8%,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2
5,"Elise the Trailblazer",2,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,"Harrison Jones",5,8.2%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,
5,"Rotten Applebaum",34,27.9%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,2,2,2,2,2,2,2,2,2,1,2,2,,1,,,,,,,,,,2,2,2
5,"Witchwood Grizzly",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
7,"Azalina Soulthief",5,8.2%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
7,"Gorehowl",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
8,"Grommash Hellscream",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Primordial Drake",49,40.2%,,1,1,1,1,1,1,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,1,1,
8,"Scourgelord Garrosh",35,57.4%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,
8,"The Lich King",19,31.1%,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,1,,,1,
9,"Alexstrasza",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,"Baku the Mooneater",1,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
