,,,,,"GamerPanda","Jake","Quint11439","Awful","Ouate","Outcry","Bloody","shoop","Yolkions"
1,"Candleshot",6,33.3%,,,,,,,,2,2,2
1,"Fire Fly",6,33.3%,,,,,,,,2,2,2
1,"Play Dead",16,88.9%,,,2,2,2,2,2,2,2,2
1,"Secretkeeper",2,11.1%,,2,,,,,,,,
1,"Tracking",7,38.9%,,1,,,2,2,2,,,
2,"Explosive Trap",10,55.6%,,2,2,2,2,1,1,,,
2,"Freezing Trap",10,55.6%,,1,1,2,2,2,2,,,
2,"Prince Keleseth",3,33.3%,,,,,,,,1,1,1
2,"Rat Trap",1,11.1%,,1,,,,,,,,
2,"Venomstrike Trap",4,22.2%,,,,,,2,2,,,
2,"Wandering Monster",12,66.7%,,2,2,2,2,2,2,,,
3,"Animal Companion",12,66.7%,,2,2,2,2,2,2,,,
3,"Deadly Shot",11,61.1%,,2,2,2,1,2,2,,,
3,"Eaglehorn Bow",8,44.4%,,2,2,2,2,,,,,
3,"Gluttonous Ooze",1,11.1%,,,,,,,,,,1
3,"Kill Command",2,11.1%,,2,,,,,,,,
3,"Lone Champion",5,27.8%,,,,,,,,2,2,1
3,"Stitched Tracker",16,88.9%,,,2,2,2,2,2,2,2,2
3,"Tar Creeper",6,33.3%,,,,,,,,2,2,2
3,"Terrorscale Stalker",1,11.1%,,,,1,,,,,,
4,"Dire Frenzy",2,22.2%,,,,,,1,1,,,
4,"Flanking Strike",14,77.8%,,2,2,2,2,,,2,2,2
4,"Houndmaster Shaw",4,44.4%,,1,,,,,,1,1,1
4,"Saronite Chain Gang",6,33.3%,,,,,,,,2,2,2
4,"Spellbreaker",3,33.3%,,,,,,,,1,1,1
5,"Carnivorous Cube",10,55.6%,,,2,2,2,2,2,,,
5,"Lesser Emerald Spellstone",12,66.7%,,2,2,2,2,2,2,,,
5,"Witchwood Grizzly",12,66.7%,,,2,,2,1,1,2,2,2
6,"Deathstalker Rexxar",9,100.0%,,1,1,1,1,1,1,1,1,1
6,"Savannah Highmane",10,55.6%,,2,2,2,,2,2,,,
6,"Seeping Oozeling",6,33.3%,,,,,,,,2,2,2
7,"Crushing Walls",1,11.1%,,1,,,,,,,,
7,"Silver Vanguard",3,33.3%,,,,,,,,1,1,1
8,"Charged Devilsaur",16,88.9%,,,2,2,2,2,2,2,2,2
8,"Kathrena Winterwisp",9,100.0%,,1,1,1,1,1,1,1,1,1
8,"The Lich King",3,33.3%,,,,,,,,1,1,1
8,"Violet Wurm",2,11.1%,,2,,,,,,,,
9,"King Krush",9,100.0%,,1,1,1,1,1,1,1,1,1
