,,,,,"Cortana"
1,"Holy Smite",1,100.0%,,1
2,"Mind Blast",2,100.0%,,2
2,"Shadow Visions",2,100.0%,,2
2,"Shadow Word: Pain",2,100.0%,,2
2,"Spirit Lash",2,100.0%,,2
3,"Gilded Gargoyle",2,100.0%,,2
3,"Shadow Word: Death",2,100.0%,,2
3,"Vivid Nightmare",1,100.0%,,1
4,"Eternal Servitude",2,100.0%,,2
4,"Mass Dispel",1,100.0%,,1
5,"Holy Nova",2,100.0%,,2
6,"Shadow Essence",2,100.0%,,2
7,"Lesser Diamond Spellstone",2,100.0%,,2
7,"Prophet Velen",1,100.0%,,1
7,"Psychic Scream",2,100.0%,,2
8,"Shadowreaper Anduin",1,100.0%,,1
9,"Malygos",1,100.0%,,1
9,"Obsidian Statue",2,100.0%,,2
