,,,,,"DiRTy"
0,"Zap!",2,100.0%,,2
1,"Blazing Invocation",1,100.0%,,1
1,"Glacial Shard",2,100.0%,,2
2,"Baleful Banker",1,100.0%,,1
2,"Murmuring Elemental",2,100.0%,,2
3,"Far Sight",1,100.0%,,1
3,"Feral Spirit",1,100.0%,,1
3,"Lightning Storm",2,100.0%,,2
3,"Mana Tide Totem",2,100.0%,,2
3,"Zola the Gorgon",1,100.0%,,1
4,"Hex",1,100.0%,,1
4,"Lifedrinker",2,100.0%,,2
4,"Saronite Chain Gang",2,100.0%,,2
4,"Scaleworm",1,100.0%,,1
4,"Twilight Drake",2,100.0%,,2
5,"Cobalt Scalebane",1,100.0%,,1
6,"Grumble, Worldshaker",1,100.0%,,1
6,"Hemet, Jungle Hunter",1,100.0%,,1
8,"Hagatha the Witch",1,100.0%,,1
8,"Primordial Drake",2,100.0%,,2
9,"Shudderwock",1,100.0%,,1
