,,,,,"Shigg","Circumstance","Wesdiaz","maplemeow","Primitive","BlinkFoxBOOM#1279","Reaper06","Ultimate","Matroid","docoa","PrettyGood","Haole2U2","Fresh","Ryuksapple","Muzzy","yoitsflo","Leadpaint","happy","Th3RaT","Promech"
1,"Dire Mole",2,10.0%,,,,,,,,,1,,,,,,1,,,,,,
1,"Fire Fly",39,97.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,"Glacial Shard",38,95.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,"Prince Keleseth",20,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Crypt Lord",39,97.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3,"Druid of the Scythe",35,87.5%,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,
3,"Gluttonous Ooze",8,40.0%,,,,,,,,,,1,,,,1,,1,1,1,1,1,1
3,"Greedy Sprite",40,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Mind Control Tech",32,80.0%,,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2
3,"Mindbreaker",3,15.0%,,1,,,,,,,,,,1,1,,,,,,,,
3,"Tar Creeper",13,32.5%,,1,1,1,1,1,,,,,,1,1,2,2,,,,,,2
3,"Vicious Fledgling",23,57.5%,,2,2,2,2,,,,,,,,,1,2,2,2,2,2,2,2
4,"Saronite Chain Gang",40,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",37,92.5%,,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
5,"Cobalt Scalebane",19,47.5%,,2,1,1,1,1,1,1,1,1,2,2,2,1,1,,,,,,1
5,"Druid of the Claw",16,40.0%,,,,,1,1,1,1,1,1,,,,,,2,2,2,2,2,
5,"Fungalmancer",40,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Leeroy Jenkins",13,65.0%,,1,1,1,,1,1,1,1,1,1,1,1,,1,,,,,,1
6,"Mossy Horror",2,10.0%,,,,,,,,,,,1,,,,,,,,,,1
6,"Skulking Geist",2,10.0%,,,,,,,1,1,,,,,,,,,,,,,
7,"Malfurion the Pestilent",20,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"Spiteful Summoner",40,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Bonemare",2,5.0%,,,,,,,,,,,,,,,,,,,,,2
8,"Grand Archivist",24,60.0%,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1
8,"The Lich King",13,65.0%,,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,1
10,"Ultimate Infestation",40,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
