,,,,,"cadvan","Qwerty97","FamousOsprey","Willscarlet","Envoy","DUBS","keyo","CmaccompH","Fenom","cary#11906","SnipedAgain#1736","maplemeow","DerpyTroller","Danke","ChoBo","Deathsie","LosDominator","SamWynn","pnc","Seiko#2721","Kilbuddy","Tom Selleck","RampageKC","Wesdiaz","Brodiaz","CoreExit","docoa","Reaper06","Apxvoid","Fire#12197","Vandoom#1987","PrettyGood","Promech","TheChosenGuy","Meswannjr","Cortana"
1,"Arcane Artificer",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,"Arcane Missiles",68,94.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
1,"Breath of Sindragosa",1,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1,"Fire Fly",5,6.9%,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
1,"Glacial Shard",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1,"Mana Wyrm",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
1,"Mirror Image",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1,"Secretkeeper",1,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2,"Acidic Swamp Ooze",1,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2,"Amani Berserker",37,51.4%,,1,1,1,,,,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,,1,,1,,,,,
2,"Arcanologist",72,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Bloodmage Thalnos",8,22.2%,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
2,"Doomsayer",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Frostbolt",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,"Primordial Glyph",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2
2,"Sorcerer's Apprentice",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2
3,"Acolyte of Pain",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,"Arcane Intellect",72,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Cinderstorm",69,95.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,
3,"Counterspell",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,"Explosive Runes",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,"Frost Nova",4,5.6%,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,"Ice Barrier",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,"Kirin Tor Mage",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,"Simulacrum",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,"Tar Creeper",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3,"Vicious Fledgling",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
4,"Arcane Keysmith",22,30.6%,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,2,2,2,2,2,1,1,,,,1
4,"Cone of Cold",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Fire Plume Phoenix",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
4,"Fireball",70,97.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
4,"Leyline Manipulator",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Lifedrinker",63,87.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,,,
4,"Molten Reflection",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Steam Surger",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
4,"Vex Crow",2,5.6%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
5,"Bonfire Elemental",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,"Aluneth",33,91.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,
6,"Blizzard",2,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7,"Archmage Antonidas",2,5.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
8,"The Lich King",1,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
10,"Pyroblast",27,75.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,,1,,,
