,,,,,"GamerPanda","Hotform#11346","Pandamanfan"
0,"Backstab",6,100.0%,,2,2,2
0,"Preparation",1,33.3%,,,,1
0,"Shadowstep",5,83.3%,,2,2,1
1,"Cold Blood",4,66.7%,,2,2,
1,"Deadly Poison",2,33.3%,,,,2
1,"Fire Fly",5,83.3%,,2,2,1
1,"Hallucination",1,33.3%,,,,1
1,"Southsea Deckhand",1,33.3%,,1,,
2,"Bloodmage Thalnos",1,33.3%,,,,1
2,"Pick Pocket",2,33.3%,,,,2
2,"Prince Keleseth",2,66.7%,,1,1,
2,"Sap",1,33.3%,,,,1
3,"Blink Fox",4,66.7%,,2,,2
3,"Edwin VanCleef",2,66.7%,,1,1,
3,"Face Collector",1,33.3%,,,,1
3,"Fan of Knives",4,66.7%,,2,,2
3,"Hench-Clan Thug",4,66.7%,,2,2,
3,"SI:7 Agent",5,83.3%,,2,2,1
3,"Sonya Shadowdancer",1,33.3%,,1,,
3,"Tar Creeper",4,66.7%,,,2,2
3,"Vicious Fledgling",2,33.3%,,,2,
4,"Elven Minstrel",5,83.3%,,2,2,1
4,"Saronite Chain Gang",4,66.7%,,2,2,
4,"Spectral Cutlass",2,33.3%,,,,2
4,"Spellbreaker",3,50.0%,,1,2,
5,"Cobalt Scalebane",4,66.7%,,2,2,
5,"Elise the Trailblazer",1,33.3%,,,,1
5,"Leeroy Jenkins",2,66.7%,,1,1,
5,"Vilespine Slayer",5,83.3%,,2,2,1
6,"Vanish",2,33.3%,,,,2
8,"Tess Greymane",1,33.3%,,,,1
8,"The Lich King",2,66.7%,,,1,1
9,"Valeera the Hollow",1,33.3%,,,,1
