,,,,,"Vandoom#1987","Lymited","Tom Selleck","DUBS"
1,"Acherus Veteran",2,25.0%,,,2,,
1,"Fire Fly",6,75.0%,,,2,2,2
1,"Flame Imp",8,100.0%,,2,2,2,2
1,"Glacial Shard",3,37.5%,,,,1,2
1,"Kobold Librarian",8,100.0%,,2,2,2,2
1,"Mortal Coil",2,25.0%,,,2,,
1,"Soulfire",8,100.0%,,2,2,2,2
1,"Voidwalker",8,100.0%,,2,2,2,2
2,"Demonfire",2,25.0%,,2,,,
2,"Prince Keleseth",3,75.0%,,,1,1,1
2,"Vulgar Homunculus",2,25.0%,,2,,,
3,"Duskbat",2,25.0%,,2,,,
3,"Ironbeak Owl",1,25.0%,,,1,,
3,"Tar Creeper",6,75.0%,,,2,2,2
3,"Vicious Fledgling",6,75.0%,,,2,2,2
4,"Dark Iron Dwarf",4,50.0%,,,,2,2
4,"Hellfire",2,25.0%,,2,,,
4,"Hooked Reaver",2,25.0%,,2,,,
4,"Lesser Amethyst Spellstone",2,25.0%,,2,,,
4,"Saronite Chain Gang",6,75.0%,,,2,2,2
4,"Spellbreaker",4,50.0%,,,1,1,2
5,"Cobalt Scalebane",2,25.0%,,,,2,
5,"Deathweb Spider",2,25.0%,,2,,,
5,"Despicable Dreadlord",8,100.0%,,2,2,2,2
5,"Doomguard",8,100.0%,,2,2,2,2
5,"Fungalmancer",6,75.0%,,,2,2,2
5,"Skull of the Man'ari",1,25.0%,,1,,,
9,"Voidlord",2,25.0%,,2,,,
10,"Bloodreaver Gul'dan",4,100.0%,,1,1,1,1
