Archetype,Number,Percentage of Decks
"Token Druid",77,9.0
"Malygos Druid",44,5.1
"Mill Druid",31,3.6
"Taunt Druid",28,3.3
"Big Druid",20,2.3
"Spiteful Druid",2,0.2
"Deathrattle Hunter",106,12.3
"Midrange Hunter",11,1.3
"Spell Hunter",4,0.5
"Tempo Mage",19,2.2
"Big Spell Mage",13,1.5
"Odd Paladin",62,7.2
"Mech Paladin",3,0.3
"Control Priest",4,0.5
"Combo Priest",3,0.3
"Quest Priest",1,0.1
"Odd Rogue",84,9.8
"Quest Rogue",70,8.1
"Miracle Rogue",10,1.2
"Kingsbane Rogue",3,0.3
"Shudderwock Shaman",52,6.0
"Midrange Shaman",19,2.2
"Even Shaman",6,0.7
"Zoo Warlock",85,9.9
"Even Warlock",52,6.0
"Cube Warlock",11,1.3
"Control Warlock",7,0.8
"Odd Warrior",30,3.5
"Control Warrior",3,0.3
