,,,,,"Creapz","Kufdon","zumpp","Vardu","Maur1","Vinz","MM78","Arrivider4i"
0,"Innervate",10,62.5%,,2,2,2,2,2,,,
1,"Biology Project",4,25.0%,,,,,,,1,1,2
1,"Lesser Jasper Spellstone",2,25.0%,,,,,,,1,1,
1,"Naturalize",16,100.0%,,2,2,2,2,2,2,2,2
2,"Wild Growth",16,100.0%,,2,2,2,2,2,2,2,2
3,"Drakkari Enchanter",7,87.5%,,1,1,1,1,1,1,1,
3,"Greedy Sprite",7,87.5%,,1,1,1,1,1,1,1,
3,"Witching Hour",2,12.5%,,,,,,,,,2
4,"Branching Paths",16,100.0%,,2,2,2,2,2,2,2,2
4,"Bright-Eyed Scout",13,81.2%,,2,2,2,2,2,2,1,
4,"Flobbidinous Floop",2,25.0%,,,,,,,1,1,
4,"Ironwood Golem",2,12.5%,,,,,,,,,2
4,"Oaken Summons",2,12.5%,,,,,,,,,2
4,"Spiritsinger Umbra",1,12.5%,,,,,,,,,1
4,"Swipe",14,87.5%,,2,2,2,2,2,1,2,1
5,"Carnivorous Cube",3,18.8%,,,,,,,1,,2
5,"Harrison Jones",1,12.5%,,,,,,,,,1
5,"Nourish",16,100.0%,,2,2,2,2,2,2,2,2
6,"Spreading Plague",14,87.5%,,2,2,2,2,2,2,2,
7,"Malfurion the Pestilent",7,87.5%,,1,1,1,1,1,1,1,
8,"Primordial Drake",16,100.0%,,2,2,2,2,2,2,2,2
8,"The Lich King",8,100.0%,,1,1,1,1,1,1,1,1
9,"Dragonhatcher",16,100.0%,,2,2,2,2,2,2,2,2
9,"Hadronox",8,100.0%,,1,1,1,1,1,1,1,1
9,"Master Oakheart",8,100.0%,,1,1,1,1,1,1,1,1
9,"Sleepy Dragon",16,100.0%,,2,2,2,2,2,2,2,2
9,"Ysera",7,87.5%,,1,1,1,1,1,1,1,
10,"Mecha'thun",5,62.5%,,1,1,1,1,1,,,
10,"Tyrantus",1,12.5%,,,,,,,,1,
