,,,,,"yogg#2768","Swidz#2563","kolmari#2701","Viper#23812","Zyrios#2229","magicgeek#2732","Silvors#21299","iNS4NE#21840"
1,"Arcane Artificer",16,100.0%,,2,2,2,2,2,2,2,2
1,"Daring Fire-Eater",2,12.5%,,,,,,,2,,
2,"Doomsayer",4,25.0%,,2,2,,,,,,
2,"Plated Beetle",4,25.0%,,2,2,,,,,,
2,"Raven Familiar",14,87.5%,,1,1,2,2,2,2,2,2
3,"Acolyte of Pain",7,43.8%,,,,2,2,2,1,,
3,"Gluttonous Ooze",12,75.0%,,1,2,2,2,2,1,1,1
3,"Stonehill Defender",16,100.0%,,2,2,2,2,2,2,2,2
3,"Stoneskin Basilisk",2,25.0%,,,,,,,,1,1
3,"Tar Creeper",6,75.0%,,1,1,1,1,1,1,,
3,"Voodoo Doll",16,100.0%,,2,2,2,2,2,2,2,2
3,"Zola the Gorgon",1,12.5%,,1,,,,,,,
4,"Arcane Keysmith",2,25.0%,,,,,,,,1,1
4,"Corpsetaker",4,25.0%,,,,,,,,2,2
4,"Polymorph",16,100.0%,,2,2,2,2,2,2,2,2
4,"Saronite Chain Gang",3,37.5%,,,,1,1,1,,,
4,"Witchwood Piper",2,25.0%,,1,1,,,,,,
5,"Dragon's Fury",16,100.0%,,2,2,2,2,2,2,2,2
5,"Dragonmaw Scorcher",3,37.5%,,,,1,1,1,,,
5,"Harrison Jones",1,12.5%,,,,,,,1,,
5,"Zilliax",8,100.0%,,1,1,1,1,1,1,1,1
6,"Blizzard",15,93.8%,,1,2,2,2,2,2,2,2
6,"Meteor",16,100.0%,,2,2,2,2,2,2,2,2
6,"Skulking Geist",3,37.5%,,,,,,,1,1,1
7,"Astromancer",4,25.0%,,,,,,,,2,2
7,"Baron Geddon",1,12.5%,,1,,,,,,,
7,"Flamestrike",14,87.5%,,2,2,2,2,2,2,1,1
8,"Hex Lord Malacrass",2,25.0%,,1,1,,,,,,
8,"Sindragosa",6,75.0%,,,,1,1,1,1,1,1
8,"The Lich King",8,100.0%,,1,1,1,1,1,1,1,1
9,"Dragoncaller Alanna",8,100.0%,,1,1,1,1,1,1,1,1
9,"Frost Lich Jaina",8,100.0%,,1,1,1,1,1,1,1,1
