,,,,,"yogg#2768","KalÃ xz#2721","Windello#2498","Leta","Leta","Leta","Thiddi#2854"
0,"Circle of Healing",14,100.0%,,2,2,2,2,2,2,2
0,"Silence",11,78.6%,,1,1,1,2,2,2,2
1,"Dire Mole",1,14.3%,,,,,,,,1
1,"Inner Fire",11,78.6%,,1,1,1,2,2,2,2
1,"Northshire Cleric",14,100.0%,,2,2,2,2,2,2,2
1,"Power Word: Shield",14,100.0%,,2,2,2,2,2,2,2
2,"Crazed Alchemist",3,42.9%,,1,1,1,,,,
2,"Divine Hymn",6,42.9%,,2,2,2,,,,
2,"Divine Spirit",14,100.0%,,2,2,2,2,2,2,2
2,"Radiant Elemental",14,100.0%,,2,2,2,2,2,2,2
2,"Shadow Ascendant",8,57.1%,,,,,2,2,2,2
2,"Shadow Visions",14,100.0%,,2,2,2,2,2,2,2
2,"Spirit Lash",6,42.9%,,2,2,2,,,,
2,"Upgradeable Framebot",6,42.9%,,,,,2,2,2,
2,"Wild Pyromancer",14,100.0%,,2,2,2,2,2,2,2
3,"Acolyte of Pain",7,50.0%,,,,,2,2,2,1
3,"Bronze Gatekeeper",6,42.9%,,,,,2,2,2,
3,"Injured Blademaster",1,14.3%,,,,,,,,1
3,"Tar Creeper",2,14.3%,,,,,,,,2
3,"Unidentified Elixir",1,14.3%,,,,,,,,1
3,"Vivid Nightmare",6,42.9%,,2,2,2,,,,
4,"Eternal Servitude",3,42.9%,,1,1,1,,,,
4,"Mass Dispel",6,85.7%,,1,1,1,1,1,1,
4,"Shadow Madness",3,42.9%,,1,1,1,,,,
4,"Stormwind Knight",3,42.9%,,1,1,1,,,,
4,"Tortollan Shellraiser",2,14.3%,,,,,,,,2
4,"Unpowered Steambot",6,42.9%,,,,,2,2,2,
4,"Witchwood Piper",3,42.9%,,1,1,1,,,,
5,"Harrison Jones",1,14.3%,,,,,,,,1
5,"Lyra the Sunshard",4,57.1%,,,,,1,1,1,1
7,"Psychic Scream",6,42.9%,,2,2,2,,,,
