,,,,,"Crane333#2314"
1,"Righteous Protector",2,100.0%,,2
2,"Equality",2,100.0%,,2
2,"Holy Light",1,100.0%,,1
2,"Plated Beetle",2,100.0%,,2
2,"Vicious Scalehide",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
3,"Benevolent Djinn",2,100.0%,,2
3,"Ironbeak Owl",1,100.0%,,1
3,"Stonehill Defender",2,100.0%,,2
4,"Blessing of Kings",1,100.0%,,1
4,"Consecration",2,100.0%,,2
4,"Truesilver Champion",2,100.0%,,2
5,"Call to Arms",2,100.0%,,2
5,"Rotten Applebaum",2,100.0%,,2
6,"Spikeridged Steed",2,100.0%,,2
6,"Sunkeeper Tarim",1,100.0%,,1
7,"Lynessa Sunsorrow",1,100.0%,,1
9,"Uther of the Ebon Blade",1,100.0%,,1
