,,,,,"Swidz","hatul"
1,"Northshire Cleric",4,100.0%,,2,2
1,"Power Word: Shield",4,100.0%,,2,2
2,"Divine Hymn",4,100.0%,,2,2
2,"Mind Blast",4,100.0%,,2,2
2,"Shadow Visions",4,100.0%,,2,2
2,"Wild Pyromancer",4,100.0%,,2,2
3,"Acolyte of Pain",1,50.0%,,1,
3,"Gluttonous Ooze",1,50.0%,,1,
3,"Twilight Acolyte",4,100.0%,,2,2
4,"Duskbreaker",4,100.0%,,2,2
4,"Mass Dispel",2,100.0%,,1,1
4,"Scaleworm",2,50.0%,,,2
4,"Twilight Drake",4,100.0%,,2,2
5,"Giggling Inventor",2,50.0%,,,2
6,"Cabal Shadow Priest",2,50.0%,,2,
6,"Skulking Geist",1,50.0%,,1,
7,"Archbishop Benedictus",1,50.0%,,,1
7,"Psychic Scream",4,100.0%,,2,2
8,"Primordial Drake",4,100.0%,,2,2
8,"Shadowreaper Anduin",2,100.0%,,1,1
9,"Alexstrasza",2,100.0%,,1,1
