,,,,,"Nicslay#2567","Sintolol#2775","Seiko#2721","dawido#2832","Scruffy#2659","Faeli#2572","Findan#2596","martim#2226","eilic#2496","pokrovac#2638","Jarla#21553","Glaser#2196","hunterace#2217","ntR#1799","Twink#21785","Zhym#2678","Ronnie#2895","riku97#2895","Zuka#2978","KalÃ xz#2721","yogg#2768","Windello#2498","Warma#2764","Control Warlock","Control Warlock","A83650#2106","zumpp#2702","Kolento#2266","Kalas#2638","Trec#2878","MM78#2809","Fox#29320","Swidz#2563","xBlyzes#2682","ignite#21733","ShtanUdachi#2202","RENMEN#2291","Raena#2283","Furyhunter","Furyhunter","Furyhunter","Zyrios","Glasnost","Glasnost","Glasnost"
0,"Sacrificial Pact",12,26.7%,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1,"Dark Pact",76,84.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
1,"Dark Possession",2,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1,"Kobold Librarian",90,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Mortal Coil",38,42.2%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,,,,,,,,,,,
2,"Acidic Swamp Ooze",24,53.3%,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,1,1,,,,,,,,,,
2,"Baleful Banker",6,13.3%,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,1,,,,1,,,
2,"Defile",90,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Demonic Project",10,11.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1
2,"Doomsayer",52,57.8%,,,,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2,1,,,,,2,,,2,2,,1,1,1,1,2,2,2
