,,,,,"yogg#2768","Swidz#2563"
1,"Omega Assembly",4,100.0%,,2,2
1,"Shield Slam",4,100.0%,,2,2
1,"Town Crier",4,100.0%,,2,2
2,"Armorsmith",4,100.0%,,2,2
2,"Dead Man's Hand",2,100.0%,,1,1
2,"Execute",4,100.0%,,2,2
2,"Warpath",4,100.0%,,2,2
2,"Weapons Project",4,100.0%,,2,2
3,"Shield Block",4,100.0%,,2,2
3,"Stonehill Defender",4,100.0%,,2,2
4,"Militia Commander",4,100.0%,,2,2
5,"Brawl",4,100.0%,,2,2
5,"Dyn-o-matic",4,100.0%,,2,2
5,"Harrison Jones",2,100.0%,,1,1
5,"Zilliax",2,100.0%,,1,1
7,"Dr. Boom, Mad Genius",2,100.0%,,1,1
8,"Geosculptor Yip",2,100.0%,,1,1
8,"The Lich King",2,100.0%,,1,1
