,,,,,"Kalas#2638","Thomerio#2246","gunzerker#2560","RENMEN#2291","MM78#2809","Amazing#2489","DarkBeef#2388","MrLovalova#2172","Snoodyboo#2897"
1,"Dark Pact",18,100.0%,,2,2,2,2,2,2,2,2,2
1,"Kobold Librarian",18,100.0%,,2,2,2,2,2,2,2,2,2
2,"Acidic Swamp Ooze",3,33.3%,,1,1,1,,,,,,
2,"Defile",18,100.0%,,2,2,2,2,2,2,2,2,2
2,"Doomsayer",18,100.0%,,2,2,2,2,2,2,2,2,2
3,"Prince Taldaram",8,88.9%,,1,1,1,1,1,1,1,1,
3,"Tar Creeper",2,11.1%,,,,,,,,,,2
4,"Corpsetaker",1,11.1%,,,,,,,,,1,
4,"Hellfire",18,100.0%,,2,2,2,2,2,2,2,2,2
4,"High Priestess Jeklik",1,11.1%,,,,,,,,1,,
4,"Lesser Amethyst Spellstone",18,100.0%,,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",1,11.1%,,,,,,,,,1,
4,"Spiritsinger Umbra",8,88.9%,,1,1,1,1,1,1,1,,1
5,"Carnivorous Cube",18,100.0%,,2,2,2,2,2,2,2,2,2
5,"Doomguard",18,100.0%,,2,2,2,2,2,2,2,2,2
5,"Faceless Manipulator",11,61.1%,,1,1,1,1,1,2,1,1,2
5,"Skull of the Man'ari",9,100.0%,,1,1,1,1,1,1,1,1,1
5,"Zilliax",9,100.0%,,1,1,1,1,1,1,1,1,1
6,"Possessed Lackey",18,100.0%,,2,2,2,2,2,2,2,2,2
6,"Rin, the First Disciple",2,22.2%,,,,,1,1,,,,
7,"Lord Godfrey",8,88.9%,,1,1,1,1,1,1,1,1,
9,"Voidlord",18,100.0%,,2,2,2,2,2,2,2,2,2
10,"Bloodreaver Gul'dan",9,100.0%,,1,1,1,1,1,1,1,1,1
12,"Mountain Giant",18,100.0%,,2,2,2,2,2,2,2,2,2
