,,,,,"Trec#2878"
1,"Lakkari Sacrifice",1,100.0%,,1
1,"Shriek",2,100.0%,,2
1,"Soul Infusion",2,100.0%,,2
1,"Soulfire",2,100.0%,,2
1,"The Soularium",1,100.0%,,1
2,"Prince Keleseth",1,100.0%,,1
3,"Reckless Diretroll",2,100.0%,,2
3,"Stonehill Defender",2,100.0%,,2
3,"Stoneskin Basilisk",2,100.0%,,2
4,"Cataclysm",2,100.0%,,2
4,"Corpsetaker",2,100.0%,,2
4,"High Priestess Jeklik",1,100.0%,,1
4,"Lakkari Felhound",2,100.0%,,2
5,"Doomguard",2,100.0%,,2
5,"Zilliax",1,100.0%,,1
6,"Mojomaster Zihi",1,100.0%,,1
6,"Soulwarden",2,100.0%,,2
7,"Lord Godfrey",1,100.0%,,1
10,"Bloodreaver Gul'dan",1,100.0%,,1
