,,,,,"Ostkaka#1610","Jarla#21553","BoarControl#2986","Orange#2309","hunterace#2217","fenomeno#21327","exigo#2915","Dizdemon#2464","Gregoriusil#2794","Kalàxz#2721","DarkBeef#2388","Bunnyhoppor#2897","Casie#2884","s8ris#2419","Athanas#1830","Thomerio#2246","Faeli#2572","Findan#2596","Jobsad#21419","Jengo#2254","Amazing#2489","MissPeace#2171","gunzerker#2560","Swidz#2563","eilic#2496"
2,"Acidic Swamp Ooze",36,72.0%,,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1
2,"Amani Berserker",14,28.0%,,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,1,2,2
2,"Argent Protector",40,80.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,,2,
2,"Crystalsmith Kangor",25,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Equality",50,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Hydrologist",50,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Sound the Bells!",1,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,"Wild Pyromancer",48,96.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
4,"Blessing of Kings",50,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Consecration",50,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Corpsetaker",50,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Saronite Chain Gang",5,20.0%,,,,,,,,,,1,,,,,,,1,1,1,1,,,,,,
4,"Spellbreaker",26,52.0%,,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,,1,1,1,1,1,2,1,1,
4,"Spirit of the Tiger",1,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,"The Glass Knight",24,96.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,"Truesilver Champion",50,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Argent Commander",13,26.0%,,1,,,,,,,,,,1,,,,,,1,1,1,1,2,2,2,,1
6,"Avenging Wrath",41,82.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
6,"Genn Greymane",25,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Mojomaster Zihi",3,12.0%,,,,,,,,,1,1,,,,,1,,,,,,,,,,,
6,"Spikeridged Steed",49,98.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
6,"Sunkeeper Tarim",25,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Val'anyr",8,32.0%,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1
6,"Windfury Harpy",25,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"The Lich King",25,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Tirion Fordring",16,64.0%,,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1
