,,,,,"cursed#21642","Xeno#2951","Psyhodel#2983","eilic#2496","Savvat#21946","fzmushko#2188","Eclipse#2834","Martyr#2146","Jengo#2254","Florindo#2246","Gregoriusil#2794","Maverick#2233","Felkeine#2360"
2,"Acidic Swamp Ooze",11,42.3%,,,1,1,1,1,1,1,1,2,2,,,
2,"Cloakscale Chemist",2,15.4%,,,,,,,,,,,,,1,1
2,"Dire Wolf Alpha",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Earthen Might",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Flametongue Totem",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Knife Juggler",13,50.0%,,2,2,1,,,,,2,2,,,2,2
2,"Menacing Nimbus",22,84.6%,,2,1,2,2,2,2,2,2,1,,2,2,2
2,"Murkspark Eel",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Primalfin Totem",25,96.2%,,2,2,2,2,2,2,2,2,2,2,1,2,2
2,"Scarab Egg",2,7.7%,,,,,,,,,,,,2,,
2,"Vicious Scalehide",4,30.8%,,,1,1,1,,,,,,,1,,
4,"Corpsetaker",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Fire Plume Phoenix",3,11.5%,,,,,,,,,1,,2,,,
4,"Hex",19,73.1%,,2,1,1,2,2,2,2,2,1,2,2,,
4,"Saronite Chain Gang",23,88.5%,,2,2,2,2,2,2,2,,1,2,2,2,2
4,"Spellbreaker",6,46.2%,,,,,,1,1,1,,1,,,1,1
6,"Argent Commander",11,84.6%,,1,1,1,1,1,1,1,1,1,1,1,,
6,"Fire Elemental",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Genn Greymane",13,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Mojomaster Zihi",1,7.7%,,,,,,,,,,,,1,,
6,"Nerubian Unraveler",4,15.4%,,,,,,,,,,,,,2,2
8,"Al'Akir the Windlord",13,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Bonemare",1,7.7%,,,,,,,,,,,1,,,
8,"Hagatha the Witch",11,84.6%,,1,1,1,1,1,1,1,1,1,1,1,,
8,"Kalimos, Primal Lord",12,92.3%,,1,1,1,1,1,1,1,1,1,1,,1,1
8,"The Lich King",12,92.3%,,1,1,1,1,1,1,1,1,1,,1,1,1
10,"Sea Giant",26,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2
