,,,,,"Iner","Iner","Iner"
0,"Preparation",6,100.0%,,2,2,2
1,"Deadly Poison",6,100.0%,,2,2,2
1,"Doomerang",6,100.0%,,2,2,2
1,"Kingsbane",3,100.0%,,1,1,1
2,"Cavern Shinyfinder",6,100.0%,,2,2,2
2,"Eviscerate",3,100.0%,,1,1,1
2,"Leeching Poison",6,100.0%,,2,2,2
2,"Sap",6,100.0%,,2,2,2
2,"Toxicologist",6,100.0%,,2,2,2
3,"Fan of Knives",6,100.0%,,2,2,2
3,"Gluttonous Ooze",3,100.0%,,1,1,1
4,"Blade Flurry",3,100.0%,,1,1,1
4,"Elven Minstrel",6,100.0%,,2,2,2
5,"Captain Greenskin",3,100.0%,,1,1,1
5,"Vilespine Slayer",3,100.0%,,1,1,1
6,"Mossy Horror",3,100.0%,,1,1,1
6,"Vanish",6,100.0%,,2,2,2
7,"Sprint",6,100.0%,,2,2,2
9,"Valeera the Hollow",3,100.0%,,1,1,1
