Player,Deck1,Deck2,Deck3,Deck4
"A83650#2106","Secret Hunter","Odd Paladin","Control Priest","Even Warlock"
"Amazing#2489","Deathrattle Hunter","Even Paladin","Clone Priest","Cube Warlock"
"Athanas#1830","Secret Hunter","Even Paladin","Odd Rogue","Even Warlock"
"BoarControl#2986","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Bozzzton#1635","Secret Hunter","Control Priest","Odd Rogue","Even Warlock"
"Bunnyhoppor#2897","Secret Hunter","Even Paladin","Control Priest","Even Warlock"
"BuzzRay#2957","Spell Hunter","Odd Mage","Control Priest","Odd Warrior"
"Casie#2884","Secret Hunter","Even Paladin","Control Priest","Even Warlock"
"crane333#2314","Deathrattle Hunter","OTK DK Paladin","Clone Priest","Even Warlock"
"cursed#21642","Midrange Hunter","Odd Paladin","Odd Rogue","Even Shaman"
"DarkBeef#2388","Secret Hunter","Even Paladin","Odd Rogue","Cube Warlock"
"dawido#2832","Secret Hunter","Odd Paladin","Control Priest","Even Warlock"
"Dimasik#21763","Deathrattle Hunter","Deathrattle Paladin","Clone Priest","Quest Rogue"
"Dizdemon#2464","Deathrattle Hunter","Even Paladin","Clone Priest","Even Warlock"
"Eclipse#2834","Secret Hunter","Control Priest","Odd Rogue","Even Shaman"
"eilic#2496","Secret Hunter","Even Paladin","Odd Rogue","Even Shaman"
"Elfandor#2767","Secret Hunter","Odd Paladin","Control Priest","Odd Rogue"
"exigo#2915","Secret Hunter","Even Paladin","Even Warlock","Odd Warrior"
"Faeli#2572","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Felkeine#2360","Secret Hunter","Odd Paladin","Odd Rogue","Even Shaman"
"fenomeno#21327","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Findan#2596","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Florindo#2246","Secret Hunter","Odd Paladin","Odd Rogue","Even Shaman"
"FreddyB#2185","Malygos Druid","Secret Hunter","Odd Paladin","Odd Rogue"
"Furyhunter#2166","Malygos Druid","Secret Hunter","Odd Paladin","Odd Rogue"
"fzmushko#2188","Secret Hunter","Control Priest","Odd Rogue","Even Shaman"
"GeneraL#2662","Spell Hunter","OTK DK Paladin","Even Warlock","Odd Warrior"
"Gregoriusil#2794","Secret Hunter","Even Paladin","Odd Rogue","Even Shaman"
"gunzerker#2560","Deathrattle Hunter","Even Paladin","Clone Priest","Cube Warlock"
"hatul#2516","Spell Hunter","Odd Mage","Control Priest","Odd Warrior"
"Hawkeye#2791","Deathrattle Hunter","OTK DK Paladin","Clone Priest","Even Warlock"
"Hoej#2550","Malygos Druid","Secret Hunter","Odd Paladin","Even Warlock"
"hunterace#2217","Secret Hunter","Even Paladin","Control Priest","Odd Warrior"
"iNS4NE#21840","Secret Hunter","Big Spell Mage","Control Priest","Odd Warrior"
"Jarla#21553","Malygos Druid","Secret Hunter","Even Paladin","Control Priest"
"Jengo#2254","Secret Hunter","Even Paladin","Odd Rogue","Even Shaman"
"Jobsad#21419","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Kalas#2638","Mill Druid","Deathrattle Hunter","Clone Priest","Cube Warlock"
"Kalàxz#2721","Deathrattle Hunter","Even Paladin","Clone Priest","Even Warlock"
"kolmari#2701","Big Spell Mage","Control Priest","Shudderwock Shaman","Odd Warrior"
"Lucken#2174","Secret Hunter","Odd Paladin","Control Priest","Even Warlock"
"magicgeek#2732","Deathrattle Hunter","Big Spell Mage","Control Priest","Odd Warrior"
"Martyr#2146","Secret Hunter","Control Priest","Odd Rogue","Even Shaman"
"Maur1#2225","Mill Druid","Deathrattle Hunter","Clone Priest","Even Warlock"
"Maverick#2233","Secret Hunter","Odd Paladin","Odd Rogue","Even Shaman"
"Meati#2841","Mecha'thun Druid","Turvy OTK Priest","Quest Rogue","Mecha'thun Warlock"
"mikolop#2935","Midrange Hunter","Odd Paladin","Even Warlock","Odd Warrior"
"Miroha#2641","Spell Hunter","OTK DK Paladin","Quest Rogue","Odd Quest Warrior"
"MissPeace#2171","Deathrattle Hunter","Even Paladin","Clone Priest","Even Warlock"
"MM78#2809","Deathrattle Hunter","Clone Priest","Quest Rogue","Cube Warlock"
"Moyen#21244","Secret Hunter","Odd Paladin","Control Priest","Even Warlock"
"MrLovalova#2172","Malygos Druid","Deathrattle Hunter","Clone Priest","Cube Warlock"
"NoName#13139","Mill Druid","Deathrattle Hunter","OTK DK Paladin","Turvy OTK Priest"
"Orange#2309","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Ostkaka#1610","Secret Hunter","Even Paladin","Control Priest","Odd Warrior"
"Psyhodel#2983","Secret Hunter","Odd Paladin","Odd Rogue","Even Shaman"
"RENMEN#2291","Deathrattle Hunter","Deathrattle Paladin","Clone Priest","Cube Warlock"
"s8ris#2419","Secret Hunter","Even Paladin","Control Priest","Odd Rogue"
"Savvat#21946","Secret Hunter","Control Priest","Odd Rogue","Even Shaman"
"Seiko#2721","Mill Druid","Secret Hunter","OTK DK Paladin","Odd Warrior"
"Silvors#21299","Secret Hunter","Big Spell Mage","Control Priest","Odd Warrior"
"Sintolol#2775","Secret Hunter","Odd Paladin","Odd Rogue","Even Warlock"
"sirsalty#21189","Malygos Druid","Secret Hunter","Odd Paladin","Odd Rogue"
"Snoodyboo#2897","Secret Hunter","OTK DK Paladin","Clone Priest","Cube Warlock"
"Swidz#2563","Deathrattle Hunter","Big Spell Mage","Even Paladin","Control Warrior"
"Tars#2237","Mecha'thun Druid","Deathrattle Hunter","OTK DK Paladin","Mecha'thun Warlock"
"TechnoGoose#2886","Malygos Druid","Secret Hunter","Odd Paladin","Odd Rogue"
"Theo#2868","Secret Hunter","OTK DK Paladin","Clone Priest","Odd Warrior"
"ThijsNL#2223","Secret Hunter","OTK DK Paladin","Odd Rogue","Even Warlock"
"ThisIsChris#21601","Spell Hunter","OTK DK Paladin","Odd Rogue","Odd Warrior"
"Thomerio#2246","Deathrattle Hunter","Even Paladin","Clone Priest","Cube Warlock"
"ThunderUP#2264","Secret Hunter","Control Priest","Odd Rogue","Even Warlock"
"Trec#2878","Midrange Hunter","Odd Paladin","Odd Rogue","Discard Warlock"
"Viper#23812","Big Spell Mage","Control Priest","Shudderwock Shaman","Odd Warrior"
"Windello#2498","Secret Hunter","Odd Paladin","Control Priest","Odd Warrior"
"Xeno#2951","Midrange Hunter","Odd Paladin","Even Shaman","Odd Warrior"
"Xixo#2659","Secret Hunter","Odd Paladin","Even Warlock","Odd Warrior"
"yogg#2768","Big Spell Mage","Control Priest","Even Warlock","Control Warrior"
"Zuhex#21312","Secret Hunter","Odd Paladin","Even Warlock","Odd Warrior"
"Zyrios#2229","Spell Hunter","Big Spell Mage","Mecha'thun Warlock","Odd Warrior"


Deck1,Deck2,Deck3,Deck4,Percent of Field,,Players
"Secret Hunter","Even Paladin","Control Priest","Odd Rogue",8.8,,BoarControl#2986,Faeli#2572,fenomeno#21327,Findan#2596,Jobsad#21419,Orange#2309,s8ris#2419
"Secret Hunter","Odd Paladin","Control Priest","Even Warlock",5.0,,A83650#2106,dawido#2832,Lucken#2174,Moyen#21244
"Secret Hunter","Control Priest","Odd Rogue","Even Shaman",5.0,,Eclipse#2834,fzmushko#2188,Martyr#2146,Savvat#21946
"Secret Hunter","Odd Paladin","Odd Rogue","Even Shaman",5.0,,Felkeine#2360,Florindo#2246,Maverick#2233,Psyhodel#2983
"Malygos Druid","Secret Hunter","Odd Paladin","Odd Rogue",5.0,,FreddyB#2185,Furyhunter#2166,sirsalty#21189,TechnoGoose#2886
"Deathrattle Hunter","Even Paladin","Clone Priest","Cube Warlock",3.8,,Amazing#2489,gunzerker#2560,Thomerio#2246
"Deathrattle Hunter","Even Paladin","Clone Priest","Even Warlock",3.8,,Dizdemon#2464,Kalàxz#2721,MissPeace#2171
"Secret Hunter","Even Paladin","Odd Rogue","Even Shaman",3.8,,eilic#2496,Gregoriusil#2794,Jengo#2254
"Secret Hunter","Control Priest","Odd Rogue","Even Warlock",2.5,,Bozzzton#1635,ThunderUP#2264
"Secret Hunter","Even Paladin","Control Priest","Even Warlock",2.5,,Bunnyhoppor#2897,Casie#2884
"Spell Hunter","Odd Mage","Control Priest","Odd Warrior",2.5,,BuzzRay#2957,hatul#2516
"Deathrattle Hunter","OTK DK Paladin","Clone Priest","Even Warlock",2.5,,crane333#2314,Hawkeye#2791
"Secret Hunter","Even Paladin","Control Priest","Odd Warrior",2.5,,hunterace#2217,Ostkaka#1610
"Secret Hunter","Big Spell Mage","Control Priest","Odd Warrior",2.5,,iNS4NE#21840,Silvors#21299
"Big Spell Mage","Control Priest","Shudderwock Shaman","Odd Warrior",2.5,,kolmari#2701,Viper#23812
"Secret Hunter","Odd Paladin","Even Warlock","Odd Warrior",2.5,,Xixo#2659,Zuhex#21312
"Secret Hunter","Even Paladin","Odd Rogue","Even Warlock",1.2,,Athanas#1830
"Midrange Hunter","Odd Paladin","Odd Rogue","Even Shaman",1.2,,cursed#21642
"Secret Hunter","Even Paladin","Odd Rogue","Cube Warlock",1.2,,DarkBeef#2388
"Deathrattle Hunter","Deathrattle Paladin","Clone Priest","Quest Rogue",1.2,,Dimasik#21763
"Secret Hunter","Odd Paladin","Control Priest","Odd Rogue",1.2,,Elfandor#2767
"Secret Hunter","Even Paladin","Even Warlock","Odd Warrior",1.2,,exigo#2915
"Spell Hunter","OTK DK Paladin","Even Warlock","Odd Warrior",1.2,,GeneraL#2662
"Malygos Druid","Secret Hunter","Odd Paladin","Even Warlock",1.2,,Hoej#2550
"Malygos Druid","Secret Hunter","Even Paladin","Control Priest",1.2,,Jarla#21553
"Mill Druid","Deathrattle Hunter","Clone Priest","Cube Warlock",1.2,,Kalas#2638
"Deathrattle Hunter","Big Spell Mage","Control Priest","Odd Warrior",1.2,,magicgeek#2732
"Mill Druid","Deathrattle Hunter","Clone Priest","Even Warlock",1.2,,Maur1#2225
"Mecha'thun Druid","Turvy OTK Priest","Quest Rogue","Mecha'thun Warlock",1.2,,Meati#2841
"Midrange Hunter","Odd Paladin","Even Warlock","Odd Warrior",1.2,,mikolop#2935
"Spell Hunter","OTK DK Paladin","Quest Rogue","Odd Quest Warrior",1.2,,Miroha#2641
"Deathrattle Hunter","Clone Priest","Quest Rogue","Cube Warlock",1.2,,MM78#2809
"Malygos Druid","Deathrattle Hunter","Clone Priest","Cube Warlock",1.2,,MrLovalova#2172
"Mill Druid","Deathrattle Hunter","OTK DK Paladin","Turvy OTK Priest",1.2,,NoName#13139
"Deathrattle Hunter","Deathrattle Paladin","Clone Priest","Cube Warlock",1.2,,RENMEN#2291
"Mill Druid","Secret Hunter","OTK DK Paladin","Odd Warrior",1.2,,Seiko#2721
"Secret Hunter","Odd Paladin","Odd Rogue","Even Warlock",1.2,,Sintolol#2775
"Secret Hunter","OTK DK Paladin","Clone Priest","Cube Warlock",1.2,,Snoodyboo#2897
"Deathrattle Hunter","Big Spell Mage","Even Paladin","Control Warrior",1.2,,Swidz#2563
"Mecha'thun Druid","Deathrattle Hunter","OTK DK Paladin","Mecha'thun Warlock",1.2,,Tars#2237
"Secret Hunter","OTK DK Paladin","Clone Priest","Odd Warrior",1.2,,Theo#2868
"Secret Hunter","OTK DK Paladin","Odd Rogue","Even Warlock",1.2,,ThijsNL#2223
"Spell Hunter","OTK DK Paladin","Odd Rogue","Odd Warrior",1.2,,ThisIsChris#21601
"Midrange Hunter","Odd Paladin","Odd Rogue","Discard Warlock",1.2,,Trec#2878
"Secret Hunter","Odd Paladin","Control Priest","Odd Warrior",1.2,,Windello#2498
"Midrange Hunter","Odd Paladin","Even Shaman","Odd Warrior",1.2,,Xeno#2951
"Big Spell Mage","Control Priest","Even Warlock","Control Warrior",1.2,,yogg#2768
"Spell Hunter","Big Spell Mage","Mecha'thun Warlock","Odd Warrior",1.2,,Zyrios#2229
