,,,,,"sirsalty#21189","Hoej#2550","Jarla#21553","FreddyB#2185","TechnoGoose#2886","Furyhunter#2166","MrLovalova#2172"
0,"Innervate",13,92.9%,,2,2,2,2,2,2,1
0,"Moonfire",14,100.0%,,2,2,2,2,2,2,2
1,"Lesser Jasper Spellstone",14,100.0%,,2,2,2,2,2,2,2
1,"Naturalize",14,100.0%,,2,2,2,2,2,2,2
2,"Wild Growth",7,100.0%,,1,1,1,1,1,1,1
2,"Wrath",6,85.7%,,1,1,1,1,1,1,
3,"Ferocious Howl",14,100.0%,,2,2,2,2,2,2,2
3,"Greedy Sprite",2,14.3%,,,,,,,,2
4,"Branching Paths",14,100.0%,,2,2,2,2,2,2,2
4,"Flobbidinous Floop",7,100.0%,,1,1,1,1,1,1,1
4,"Swipe",14,100.0%,,2,2,2,2,2,2,2
4,"Twig of the World Tree",7,100.0%,,1,1,1,1,1,1,1
5,"Arcane Tyrant",14,100.0%,,2,2,2,2,2,2,2
5,"Faceless Manipulator",1,14.3%,,,,,,,,1
5,"Nourish",14,100.0%,,2,2,2,2,2,2,2
6,"Spreading Plague",14,100.0%,,2,2,2,2,2,2,2
7,"Dreampetal Florist",7,100.0%,,1,1,1,1,1,1,1
7,"Malfurion the Pestilent",7,100.0%,,1,1,1,1,1,1,1
9,"Alexstrasza",6,85.7%,,1,1,1,1,1,1,
9,"Malygos",7,100.0%,,1,1,1,1,1,1,1
10,"Ultimate Infestation",14,100.0%,,2,2,2,2,2,2,2
