,,,,,"Tars#2237","Meati#2841"
0,"Innervate",4,100.0%,,2,2
0,"Moonfire",4,100.0%,,2,2
0,"Pounce",4,100.0%,,2,2
1,"Barkskin",4,100.0%,,2,2
1,"Biology Project",4,100.0%,,2,2
1,"Earthen Scales",3,75.0%,,1,2
1,"Floop's Glorious Gloop",1,50.0%,,1,
1,"Lesser Jasper Spellstone",4,100.0%,,2,2
1,"Naturalize",4,100.0%,,2,2
2,"Wild Pyromancer",4,100.0%,,2,2
2,"Wrath",4,100.0%,,2,2
3,"Acolyte of Pain",4,100.0%,,2,2
3,"Ferocious Howl",4,100.0%,,2,2
4,"Branching Paths",4,100.0%,,2,2
4,"Oaken Summons",2,100.0%,,1,1
6,"Gadgetzan Auctioneer",4,100.0%,,2,2
10,"Mecha'thun",2,100.0%,,1,1
