,,,,,"Tars#2237","Meati#2841","Zyrios#2229"
1,"Dark Pact",3,50.0%,,,2,1
1,"Glacial Shard",2,33.3%,,2,,
1,"Kobold Librarian",6,100.0%,,2,2,2
1,"Mortal Coil",5,83.3%,,2,2,1
1,"The Soularium",1,33.3%,,1,,
1,"Wax Elemental",2,33.3%,,2,,
2,"Bloodbloom",2,66.7%,,1,1,
2,"Bloodmage Thalnos",2,66.7%,,1,1,
2,"Cheaty Anklebiter",2,33.3%,,2,,
2,"Defile",6,100.0%,,2,2,2
2,"Doomsayer",1,33.3%,,,,1
2,"Galvanizer",5,83.3%,,2,2,1
2,"Novice Engineer",4,66.7%,,2,2,
2,"Plated Beetle",3,50.0%,,,1,2
3,"Acolyte of Pain",2,33.3%,,2,,
3,"Gluttonous Ooze",3,50.0%,,1,,2
3,"Ironbeak Owl",1,33.3%,,,,1
3,"Shadow Bolt",1,33.3%,,,,1
3,"Tar Creeper",4,66.7%,,,2,2
3,"Voodoo Doll",4,66.7%,,,2,2
4,"Cataclysm",2,66.7%,,1,1,
4,"Corpsetaker",2,33.3%,,2,,
4,"Hellfire",2,33.3%,,,,2
4,"Lesser Amethyst Spellstone",6,100.0%,,2,2,2
5,"Skull of the Man'ari",2,66.7%,,,1,1
5,"Zilliax",3,100.0%,,1,1,1
6,"Possessed Lackey",1,33.3%,,,1,
7,"Lord Godfrey",3,100.0%,,1,1,1
8,"Twisting Nether",1,33.3%,,,,1
9,"Voidlord",4,66.7%,,,2,2
10,"Bloodreaver Gul'dan",2,66.7%,,,1,1
10,"Mecha'thun",3,100.0%,,1,1,1
