,,,,,"cursed#21642","Xeno#2951","mikolop#2935","Trec#2878"
1,"Candleshot",8,100.0%,,2,2,2,2
1,"Dire Mole",8,100.0%,,2,2,2,2
1,"Hunter's Mark",8,100.0%,,2,2,2,2
1,"Springpaw",8,100.0%,,2,2,2,2
1,"Timber Wolf",8,100.0%,,2,2,2,2
1,"Tracking",8,100.0%,,2,2,2,2
2,"Crackling Razormaw",8,100.0%,,2,2,2,2
2,"Scavenging Hyena",8,100.0%,,2,2,2,2
3,"Animal Companion",8,100.0%,,2,2,2,2
3,"Bearshark",1,25.0%,,,,,1
3,"Kill Command",8,100.0%,,2,2,2,2
3,"Master's Call",8,100.0%,,2,2,2,2
3,"Unleash the Hounds",3,75.0%,,1,1,1,
4,"Dire Frenzy",5,62.5%,,1,1,1,2
4,"Flanking Strike",8,100.0%,,2,2,2,2
5,"Halazzi, the Lynx",1,25.0%,,,,,1
5,"Tundra Rhino",4,100.0%,,1,1,1,1
6,"Deathstalker Rexxar",4,100.0%,,1,1,1,1
6,"Savannah Highmane",6,75.0%,,2,2,2,
