,,,,,"Creapz","Kufdon","zumpp","Vardu","Creapz","Kufdon","zumpp","Vardu","Creapz","Kufdon","zumpp","Vardu","Maur1","Vinz","Vinz","Vinz","martim","martim","martim"
1,"Earth Shock",13,68.4%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
1,"Fire Fly",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Lightning Bolt",9,23.7%,,,,,,,,,,,,,,,1,1,1,2,2,2
1,"Unstable Evolution",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Prince Keleseth",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Blood Knight",3,15.8%,,,,,,,,,,,,,,,,,,1,1,1
3,"Electra Stormsurge",3,15.8%,,,,,,,,,,,,,,,1,1,1,,,
3,"Gluttonous Ooze",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Lightning Storm",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Mana Tide Totem",26,68.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,
3,"Mind Control Tech",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Zola the Gorgon",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"Hex",25,65.8%,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
4,"Saronite Chain Gang",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Elise the Trailblazer",13,68.4%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
5,"Fungalmancer",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Thrall, Deathseer",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"Corridor Creeper",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Hagatha the Witch",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Kalimos, Primal Lord",6,31.6%,,,,,,,,,,,,,,,1,1,1,1,1,1
8,"The Lich King",16,84.2%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
9,"Shudderwock",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
