,,,,,"Kalas#2638","Maur1#2225","Seiko#2721","NoName#13139"
0,"Innervate",5,62.5%,,1,1,1,2
1,"Lesser Jasper Spellstone",8,100.0%,,2,2,2,2
1,"Naturalize",8,100.0%,,2,2,2,2
2,"Wrath",8,100.0%,,2,2,2,2
3,"Greedy Sprite",8,100.0%,,2,2,2,2
4,"Branching Paths",8,100.0%,,2,2,2,2
4,"Ironwood Golem",4,100.0%,,1,1,1,1
4,"Oaken Summons",8,100.0%,,2,2,2,2
4,"Swipe",8,100.0%,,2,2,2,2
4,"Twig of the World Tree",4,100.0%,,1,1,1,1
5,"Arcane Tyrant",8,100.0%,,2,2,2,2
5,"Harrison Jones",3,75.0%,,1,1,1,
5,"Nourish",8,100.0%,,2,2,2,2
6,"Spreading Plague",8,100.0%,,2,2,2,2
7,"Azalina Soulthief",4,100.0%,,1,1,1,1
7,"Dreampetal Florist",4,100.0%,,1,1,1,1
7,"Malfurion the Pestilent",4,100.0%,,1,1,1,1
8,"King Togwaggle",4,100.0%,,1,1,1,1
10,"Ultimate Infestation",8,100.0%,,2,2,2,2
