,,,,,"kolmari","Bunnyhoppor","Viper","kolmari","Bunnyhoppor","Viper","kolmari","Bunnyhoppor","Viper","Casie"
0,"Backstab",20,100.0%,,2,2,2,2,2,2,2,2,2,2
0,"Preparation",20,100.0%,,2,2,2,2,2,2,2,2,2,2
1,"Cold Blood",20,100.0%,,2,2,2,2,2,2,2,2,2,2
1,"Fire Fly",10,100.0%,,1,1,1,1,1,1,1,1,1,1
2,"Eviscerate",20,100.0%,,2,2,2,2,2,2,2,2,2,2
2,"Sap",20,100.0%,,2,2,2,2,2,2,2,2,2,2
2,"Shiv",20,100.0%,,2,2,2,2,2,2,2,2,2,2
3,"Augmented Elekk",20,100.0%,,2,2,2,2,2,2,2,2,2,2
3,"Edwin VanCleef",10,100.0%,,1,1,1,1,1,1,1,1,1,1
3,"Fan of Knives",20,100.0%,,2,2,2,2,2,2,2,2,2,2
3,"Hench-Clan Thug",20,100.0%,,2,2,2,2,2,2,2,2,2,2
4,"Elven Minstrel",20,100.0%,,2,2,2,2,2,2,2,2,2,2
4,"Fal'dorei Strider",20,100.0%,,2,2,2,2,2,2,2,2,2,2
5,"Leeroy Jenkins",10,100.0%,,1,1,1,1,1,1,1,1,1,1
5,"Vilespine Slayer",10,100.0%,,1,1,1,1,1,1,1,1,1,1
5,"Zilliax",10,100.0%,,1,1,1,1,1,1,1,1,1,1
6,"Gadgetzan Auctioneer",20,100.0%,,2,2,2,2,2,2,2,2,2,2
6,"Mossy Horror",10,100.0%,,1,1,1,1,1,1,1,1,1,1
