,,,,,"Juristis#2130","greensheep#2290"
1,"Acherus Veteran",4,100.0%,,2,2
1,"Arcane Shot",4,100.0%,,2,2
1,"Argent Squire",2,50.0%,,,2
1,"Candleshot",4,100.0%,,2,2
1,"Dire Mole",4,100.0%,,2,2
1,"Fire Fly",4,100.0%,,2,2
1,"Glacial Shard",4,100.0%,,2,2
1,"Leper Gnome",2,50.0%,,2,
1,"Tracking",4,100.0%,,2,2
3,"Animal Companion",4,100.0%,,2,2
3,"Eaglehorn Bow",4,100.0%,,2,2
3,"Ironbeak Owl",4,100.0%,,2,2
3,"Kill Command",4,100.0%,,2,2
3,"Unleash the Hounds",4,100.0%,,2,2
3,"Wolfrider",4,100.0%,,2,2
5,"Leeroy Jenkins",2,100.0%,,1,1
9,"Baku the Mooneater",2,100.0%,,1,1
