,,,,,"hatul#2516","BuzzRay#2957"
1,"Daring Fire-Eater",4,100.0%,,2,2
1,"Fire Fly",4,100.0%,,2,2
3,"Black Cat",4,100.0%,,2,2
3,"Gluttonous Ooze",2,100.0%,,1,1
3,"Pyromaniac",2,100.0%,,1,1
3,"Stonehill Defender",4,100.0%,,2,2
3,"Tar Creeper",4,100.0%,,2,2
3,"Voodoo Doll",4,100.0%,,2,2
5,"Blast Wave",4,100.0%,,2,2
5,"Dragon's Fury",4,100.0%,,2,2
5,"Zilliax",2,100.0%,,1,1
7,"Astromancer",4,100.0%,,2,2
7,"Azalina Soulthief",2,100.0%,,1,1
7,"Flamestrike",4,100.0%,,2,2
7,"Giggling Inventor",4,100.0%,,2,2
7,"Jan'alai, the Dragonhawk",2,100.0%,,1,1
9,"Baku the Mooneater",2,100.0%,,1,1
9,"Dragoncaller Alanna",2,100.0%,,1,1
9,"Frost Lich Jaina",2,100.0%,,1,1
