,,,,,"Xixo#2659","sirsalty#21189","Maverick#2233","Hoej#2550","FreddyB#2185","TechnoGoose#2886","Furyhunter#2166","Elfandor#2767","Xeno#2951","dawido#2832","Lucken#2174","A83650#2106","Psyhodel#2983","Felkeine#2360","cursed#21642","Moyen#21244","Zuhex#21312","mikolop#2935","Windello#2498","Trec#2878","Florindo#2246","Sintolol#2775"
1,"Acherus Veteran",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Argent Squire",42,95.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
1,"Blessing of Might",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Fire Fly",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Glow-Tron",2,4.5%,,,,,,,,,,,,,,,,,,,,,,,2
1,"Lost in the Jungle",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Righteous Protector",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Boisterous Bard",1,4.5%,,,,,,,,,,,,,,,,,,,,,,,1
3,"Divine Favor",11,25.0%,,,,,,,,,,1,1,1,1,1,,1,1,1,2,,,,1
3,"Raid Leader",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Stonehill Defender",42,95.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1
3,"Tinkmaster Overspark",1,4.5%,,,,,,,,,,,,,,,1,,,,,,,,
3,"Unidentified Maul",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Void Ripper",7,15.9%,,,,,,,,,,,,,,,,,1,1,,1,1,2,1
3,"Witch's Cauldron",27,61.4%,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,2,2,1,
5,"Frostwolf Warlord",43,97.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
5,"Fungalmancer",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Leeroy Jenkins",21,95.5%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
7,"Corridor Creeper",44,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Stormwind Champion",2,9.1%,,,,,,,,,,,,,,,,1,,,1,,,,
7,"Vinecleaver",43,97.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
9,"Baku the Mooneater",22,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
