,,,,,"Miroha#2641"
1,"Fire Plume's Heart",1,100.0%,,1
1,"Shield Slam",2,100.0%,,2
1,"Town Crier",2,100.0%,,2
3,"Phantom Militia",2,100.0%,,2
3,"Reckless Flurry",2,100.0%,,2
3,"Shield Block",2,100.0%,,2
3,"Stonehill Defender",2,100.0%,,2
3,"Tar Creeper",2,100.0%,,2
5,"Brawl",2,100.0%,,2
5,"Direhorn Hatchling",2,100.0%,,2
5,"Dyn-o-matic",2,100.0%,,2
5,"Supercollider",2,100.0%,,2
5,"Witchwood Grizzly",2,100.0%,,2
5,"Zilliax",1,100.0%,,1
7,"Amani War Bear",2,100.0%,,2
9,"Baku the Mooneater",1,100.0%,,1
9,"Oondasta",1,100.0%,,1
