,,,,,"ThijsNL","ThunderUP","A83650","Turna","Swaggermeist","Meati","sipiwi94","Elfandor","Glaser","Sintolol","Losthead","iNS4NE","Savvat","Eclipse","Tomas","Xenom","Winseer","Maverick","Felkeine","Dizdemon","Moyen","Athanas","Faeli","RastaFish","Altere","Bozzzton","zorkthar","TechnoGoose","Pool8","Hoej","Rdu","Thomm"
1,"Argent Squire",53,82.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,2,2
1,"Cold Blood",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Crystallizer",12,18.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,1
1,"Deadly Poison",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Dire Mole",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Fire Fly",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Mecharoo",1,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1,"Southsea Deckhand",62,96.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
3,"Blink Fox",23,35.9%,,2,2,2,2,2,1,1,1,,,,,,,,1,1,,,,,,,,2,,,,,2,2,2
3,"Blood Knight",61,95.3%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
3,"Edwin VanCleef",17,53.1%,,,,,1,1,1,1,,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,,,1,,
3,"Hench-Clan Thug",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Ironbeak Owl",1,3.1%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
3,"SI:7 Agent",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",6,18.8%,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,
3,"Vicious Fledgling",35,54.7%,,2,2,1,,,,,1,1,2,2,2,2,2,1,2,2,,,,,,,,1,2,2,2,2,,2,2
3,"Void Ripper",27,42.2%,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,2,2,2,,,,1,1,,,
5,"Captain Greenskin",9,28.1%,,1,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,,,,
5,"Cobalt Scalebane",2,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,"Fungalmancer",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",57,89.1%,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1
5,"Leeroy Jenkins",32,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Myra's Unstable Element",18,56.2%,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,1,1,1,1,1,1,,
5,"Vilespine Slayer",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,"Baku the Mooneater",32,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
