,,,,,"Zyrios"
1,"Awaken the Makers",1,100.0%,,1
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Dead Ringer",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Shadow Visions",2,100.0%,,2
2,"Spirit Lash",2,100.0%,,2
3,"Devilsaur Egg",2,100.0%,,2
3,"Gluttonous Ooze",1,100.0%,,1
3,"Mirage Caller",2,100.0%,,2
3,"Twilight's Call",2,100.0%,,2
3,"Voodoo Doll",1,100.0%,,1
3,"Zola the Gorgon",1,100.0%,,1
4,"Duskbreaker",2,100.0%,,2
5,"Reckless Experimenter",2,100.0%,,2
7,"Archbishop Benedictus",1,100.0%,,1
7,"Psychic Scream",2,100.0%,,2
8,"Primordial Drake",2,100.0%,,2
8,"Shadowreaper Anduin",1,100.0%,,1
9,"Alexstrasza",1,100.0%,,1
