,,,,,"Meati#2841","Miroha#2641","Dimasik#21763","MM78#2809"
0,"Preparation",8,100.0%,,2,2,2,2
0,"Shadowstep",8,100.0%,,2,2,2,2
1,"Glacial Shard",8,100.0%,,2,2,2,2
1,"Southsea Deckhand",7,87.5%,,2,2,1,2
1,"Stonetusk Boar",4,50.0%,,1,1,2,
1,"The Caverns Below",4,100.0%,,1,1,1,1
1,"Wax Elemental",8,100.0%,,2,2,2,2
2,"Doomsayer",2,25.0%,,,,,2
2,"Lab Recruiter",4,100.0%,,1,1,1,1
2,"Novice Engineer",8,100.0%,,2,2,2,2
2,"Sap",2,50.0%,,,,1,1
2,"Vicious Scalehide",8,100.0%,,2,2,2,2
2,"Youthful Brewmaster",8,100.0%,,2,2,2,2
3,"Fan of Knives",6,75.0%,,2,2,2,
3,"Mimic Pod",4,50.0%,,1,2,,1
3,"Sonya Shadowdancer",4,100.0%,,1,1,1,1
3,"Zola the Gorgon",4,100.0%,,1,1,1,1
4,"Elven Minstrel",8,100.0%,,2,2,2,2
5,"Zilliax",3,75.0%,,1,,1,1
6,"Vanish",8,100.0%,,2,2,2,2
9,"Valeera the Hollow",4,100.0%,,1,1,1,1
