,,,,,"zumpp#2702","Rikitikitavi#2184","RENMEN#2291","ShtanUdachi#2202","eilic#2496"
1,"Fire Plume's Heart",5,100.0%,,1,1,1,1,1
1,"Shield Slam",3,60.0%,,,1,1,1,
1,"Town Crier",2,20.0%,,2,,,,
1,"Whirlwind",6,60.0%,,,2,2,2,
2,"Battle Rage",1,20.0%,,,,,,1
2,"Cornered Sentry",7,70.0%,,,2,2,2,1
2,"Drywhisker Armorer",10,100.0%,,2,2,2,2,2
2,"Execute",10,100.0%,,2,2,2,2,2
2,"Slam",4,40.0%,,,1,1,2,
2,"Warpath",10,100.0%,,2,2,2,2,2
3,"Acolyte of Pain",10,100.0%,,2,2,2,2,2
3,"Blackwald Pixie",1,20.0%,,,,,,1
3,"Gluttonous Ooze",4,80.0%,,1,1,1,1,
3,"Phantom Militia",10,100.0%,,2,2,2,2,2
3,"Reckless Flurry",1,20.0%,,,,,,1
3,"Shield Block",10,100.0%,,2,2,2,2,2
3,"Stonehill Defender",10,100.0%,,2,2,2,2,2
3,"Tar Creeper",2,20.0%,,,,,,2
4,"Blood Razor",10,100.0%,,2,2,2,2,2
4,"Militia Commander",2,20.0%,,2,,,,
4,"Saronite Chain Gang",9,90.0%,,2,1,2,2,2
5,"Brawl",10,100.0%,,2,2,2,2,2
5,"Darius Crowley",1,20.0%,,1,,,,
5,"Rotten Applebaum",6,60.0%,,2,2,1,,1
8,"Primordial Drake",2,20.0%,,,,,,2
8,"Scourgelord Garrosh",4,80.0%,,1,1,1,1,
