,,,,,"kolmari#2701","Viper#23812"
1,"Earth Shock",4,100.0%,,2,2
1,"Fire Fly",2,100.0%,,1,1
2,"Prince Keleseth",2,100.0%,,1,1
3,"Electra Stormsurge",2,100.0%,,1,1
3,"Gluttonous Ooze",2,100.0%,,1,1
3,"Haunting Visions",2,100.0%,,1,1
3,"Healing Rain",4,100.0%,,2,2
3,"Lone Champion",2,100.0%,,1,1
3,"Stonehill Defender",4,100.0%,,2,2
3,"Zentimo",2,100.0%,,1,1
3,"Zola the Gorgon",2,100.0%,,1,1
4,"Hex",4,100.0%,,2,2
4,"Tidal Surge",4,100.0%,,2,2
5,"Dragonmaw Scorcher",4,100.0%,,2,2
5,"Elise the Trailblazer",2,100.0%,,1,1
5,"Volcano",4,100.0%,,2,2
5,"Zilliax",2,100.0%,,1,1
6,"Krag'wa, the Frog",2,100.0%,,1,1
6,"Rain of Toads",2,100.0%,,1,1
8,"Hagatha the Witch",2,100.0%,,1,1
8,"Primordial Drake",4,100.0%,,2,2
9,"Shudderwock",2,100.0%,,1,1
