,,,,,"exilessmath","hatul"
1,"Candleshot",4,100.0%,,2,2
1,"Hunter's Mark",4,100.0%,,2,2
1,"Secret Plan",3,75.0%,,1,2
1,"Tracking",4,100.0%,,2,2
2,"Explosive Trap",4,100.0%,,2,2
2,"Freezing Trap",2,50.0%,,2,
2,"Wandering Monster",4,100.0%,,2,2
3,"Animal Companion",4,100.0%,,2,2
3,"Deadly Shot",1,50.0%,,,1
3,"Eaglehorn Bow",2,50.0%,,2,
3,"Kill Command",4,100.0%,,2,2
3,"Unleash the Hounds",4,100.0%,,2,2
4,"Dire Frenzy",1,50.0%,,,1
4,"Flanking Strike",4,100.0%,,2,2
4,"Wing Blast",3,75.0%,,1,2
5,"Lesser Emerald Spellstone",4,100.0%,,2,2
6,"Deathstalker Rexxar",2,100.0%,,1,1
6,"To My Side!",4,100.0%,,2,2
7,"Rhok'delar",2,100.0%,,1,1
