,,,,,"CupraR","Winseer"
1,"Fire Fly",4,100.0%,,2,2
1,"Glacial Shard",4,100.0%,,2,2
2,"Prince Keleseth",2,100.0%,,1,1
3,"Blood Knight",2,100.0%,,1,1
3,"Crypt Lord",4,100.0%,,2,2
3,"Druid of the Scythe",2,50.0%,,,2
3,"Gluttonous Ooze",1,50.0%,,1,
3,"Greedy Sprite",4,100.0%,,2,2
3,"Mind Control Tech",3,75.0%,,2,1
3,"Vicious Fledgling",1,50.0%,,,1
3,"Void Ripper",3,75.0%,,2,1
4,"Flobbidinous Floop",2,100.0%,,1,1
4,"Saronite Chain Gang",4,100.0%,,2,2
4,"Spellbreaker",2,100.0%,,1,1
5,"Fungalmancer",4,100.0%,,2,2
5,"Giggling Inventor",4,100.0%,,2,2
6,"Tending Tauren",2,100.0%,,1,1
7,"Malfurion the Pestilent",2,100.0%,,1,1
7,"Spiteful Summoner",4,100.0%,,2,2
8,"Grand Archivist",2,100.0%,,1,1
10,"Ultimate Infestation",4,100.0%,,2,2
