,,,,,"Jarla","Bunnyhoppor","Jarla","Bunnyhoppor","Jarla","Bunnyhoppor","kolmari","Viper","kolmari","Viper","kolmari","Viper","Casie","NoName","Glasnost","NoName","Glasnost","NoName","Glasnost","Kolento","Kolento","Kolento","Iner","Iner","Iner","greensheep","greensheep","greensheep"
1,"Lesser Jasper Spellstone",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Naturalize",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wild Growth",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wrath",15,26.8%,,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,2,2,2,,,
3,"Ferocious Howl",3,10.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
3,"Gluttonous Ooze",3,10.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
3,"Witching Hour",50,89.3%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1
4,"Branching Paths",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Ironwood Golem",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Oaken Summons",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Swipe",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Carnivorous Cube",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Nourish",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Trogg Gloomeater",15,53.6%,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Primordial Drake",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"The Lich King",28,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Dragonhatcher",53,94.6%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2
9,"Hadronox",28,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Master Oakheart",28,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Sleepy Dragon",50,89.3%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
10,"Ultimate Infestation",7,25.0%,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
