,,,,,"Rdu","Thomm","Sintolol","exilessmath","zorkthar","Bozzzton","Altere"
1,"Arcane Missiles",14,100.0%,,2,2,2,2,2,2,2
1,"Mana Wyrm",14,100.0%,,2,2,2,2,2,2,2
1,"Shooting Star",14,100.0%,,2,2,2,2,2,2,2
2,"Arcanologist",14,100.0%,,2,2,2,2,2,2,2
2,"Bloodmage Thalnos",2,28.6%,,,,,,,1,1
2,"Celestial Emissary",1,14.3%,,,,1,,,,
2,"Flame Geyser",4,28.6%,,2,2,,,,,
2,"Frostbolt",14,100.0%,,2,2,2,2,2,2,2
2,"Mana Addict",1,14.3%,,,,,1,,,
2,"Primordial Glyph",14,100.0%,,2,2,2,2,2,2,2
2,"Sorcerer's Apprentice",14,100.0%,,2,2,2,2,2,2,2
2,"Spellshifter",1,14.3%,,,,,,,,1
3,"Arcane Intellect",9,64.3%,,1,1,2,2,1,1,1
3,"Cinderstorm",14,100.0%,,2,2,2,2,2,2,2
3,"Counterspell",9,64.3%,,1,1,1,1,2,2,1
3,"Explosive Runes",14,100.0%,,2,2,2,2,2,2,2
3,"Kirin Tor Mage",14,100.0%,,2,2,2,2,2,2,2
3,"Stargazer Luna",7,100.0%,,1,1,1,1,1,1,1
4,"Cosmic Anomaly",14,100.0%,,2,2,2,2,2,2,2
4,"Fireball",14,100.0%,,2,2,2,2,2,2,2
6,"Aluneth",7,100.0%,,1,1,1,1,1,1,1
10,"Pyroblast",1,14.3%,,,,,,1,,
