,,,,,"AKAWonder","Snoodyboo","Xeno","dawido","Hoej","BoarControl","Sintolol","A83650","Savvat","Glaser","Xenom","Turna","Meati","Furyhunter","Swaggermeist","Eclipse","Losthead","iNS4NE","sipiwi94","Moyen","Athanas","mikolop","Jengo","Faeli","Lucken","RastaFish","Maverick","Felkeine","Dizdemon"
0,"Innervate",3,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,
1,"Lesser Jasper Spellstone",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Naturalize",2,6.9%,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Power of the Wild",55,94.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2,"Wild Growth",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Savage Roar",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Branching Paths",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Flobbidinous Floop",3,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,"Oaken Summons",26,89.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
4,"Saronite Chain Gang",3,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
4,"Soul of the Forest",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Strongshell Scavenger",6,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
4,"Swipe",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Violet Teacher",52,89.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
4,"Wispering Woods",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Arcane Tyrant",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",51,87.9%,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2
5,"Nourish",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Spreading Plague",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Malfurion the Pestilent",29,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Cenarius",2,6.9%,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Ultimate Infestation",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
