,,,,,"NoName#13139","Meati#2841"
0,"Topsy Turvy",4,100.0%,,2,2
1,"Awaken the Makers",2,100.0%,,1,1
1,"Power Word: Shield",4,100.0%,,2,2
1,"Stonetusk Boar",2,100.0%,,1,1
1,"Test Subject",4,100.0%,,2,2
2,"Bloodmage Thalnos",2,100.0%,,1,1
2,"Dead Ringer",4,100.0%,,2,2
2,"Divine Spirit",2,100.0%,,1,1
2,"Loot Hoarder",4,100.0%,,2,2
2,"Radiant Elemental",4,100.0%,,2,2
2,"Seance",1,50.0%,,,1
2,"Shadow Visions",4,100.0%,,2,2
2,"Shadow Word: Pain",1,50.0%,,1,
2,"Spirit Lash",4,100.0%,,2,2
2,"Wild Pyromancer",1,50.0%,,1,
3,"Twilight's Call",4,100.0%,,2,2
3,"Vivid Nightmare",4,100.0%,,2,2
5,"Mass Hysteria",4,100.0%,,2,2
5,"Zilliax",1,50.0%,,,1
7,"Psychic Scream",4,100.0%,,2,2
