,,,,,"lnguagehackr#1412","magkey#1730"
1,"Arcane Artificer",4,100.0%,,2,2
2,"Doomsayer",4,100.0%,,2,2
2,"Plated Beetle",2,50.0%,,2,
2,"Raven Familiar",4,100.0%,,2,2
3,"Gluttonous Ooze",1,50.0%,,,1
3,"Stonehill Defender",2,50.0%,,,2
3,"Tar Creeper",2,50.0%,,2,
3,"Voodoo Doll",4,100.0%,,2,2
4,"Arcane Keysmith",2,50.0%,,,2
4,"Polymorph",4,100.0%,,2,2
4,"Witchwood Piper",4,100.0%,,2,2
5,"Dragon's Fury",4,100.0%,,2,2
5,"Rotten Applebaum",2,50.0%,,2,
6,"Blizzard",4,100.0%,,2,2
6,"Meteor",4,100.0%,,2,2
6,"Skulking Geist",1,50.0%,,,1
7,"Baron Geddon",2,100.0%,,1,1
7,"Flamestrike",4,100.0%,,2,2
8,"The Lich King",2,100.0%,,1,1
9,"Dragoncaller Alanna",2,100.0%,,1,1
9,"Frost Lich Jaina",2,100.0%,,1,1
