,,,,,"Ant","bobbyex","killinallday","klei","Tarei","fr0zen","Apxvoid","Nalguidan","PNC","Guiyze","TheChosenGuy","cowboys367","seohyun628","dog","Spiral","N0lan","Zeh","Cesky","Itzvan"
1,"Holy Smite",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Power Word: Shield",6,15.8%,,,,,,,,,,,,,,,,,,2,2,2
2,"Bloodmage Thalnos",1,5.3%,,,,,,,,,,,,1,,,,,,,,
2,"Mind Blast",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Radiant Elemental",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Visions",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Word: Pain",11,28.9%,,1,1,1,1,1,1,1,,,,,,1,1,2,,,,
2,"Spirit Lash",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Gilded Gargoyle",34,89.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
3,"Shadow Word: Death",16,42.1%,,1,1,1,1,1,1,1,1,1,2,2,1,,,,,,1,1
3,"Vivid Nightmare",9,23.7%,,,,,,,1,1,1,1,,,,,1,,2,,1,1
4,"Eternal Servitude",36,94.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
4,"Mass Dispel",4,10.5%,,,,,,,,,,,,,,,,,,,2,2
5,"Lyra the Sunshard",17,89.5%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
5,"Mass Hysteria",37,97.4%,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
5,"Witchwood Grizzly",14,73.7%,,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,,
5,"Zilliax",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Shadow Essence",13,34.2%,,,,,,,,1,,,1,1,2,2,2,,,,2,2
7,"Lesser Diamond Spellstone",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Prophet Velen",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"Psychic Scream",38,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Shadowreaper Anduin",10,52.6%,,1,1,1,1,1,,,,,,,,,,1,1,1,1,1
8,"The Lich King",16,84.2%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,
9,"Malygos",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Obsidian Statue",4,21.1%,,,,,,,,,1,1,,,1,1,,,,,,
9,"Zerek's Cloning Gallery",19,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
