,,,,,"Activelee","justsaiyan","impact","Tincho","Joaquin","SoLegit","Solojazz","topopablo11","Flamekilla","Plantz","UchihaSaske","amnesiac","muzzy","Purple","Monsanto","Alan870806","Arden","docpwn","ETC","fibonacci","Qwerty97","Starfruit","SwaggyG","Wrackle","Zamos","caravaggio8","villain","zlsjs","Level9001","Rami94","DeathstarV3","Ike","Itachi","InquisitorM","Gallon","zaguios","StormFever"
0,"Silence",1,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1,"Northshire Cleric",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Power Word: Shield",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Acidic Swamp Ooze",2,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,"Divine Hymn",35,47.3%,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,,1,2,2
2,"Firetree Witchdoctor",35,47.3%,,2,2,2,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,,,,,,2,2,2,1,1,2,,,2
2,"Mind Blast",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Visions",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wild Pyromancer",51,68.9%,,,,,1,1,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2
3,"Acolyte of Pain",15,40.5%,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,1,
3,"Gluttonous Ooze",29,78.4%,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,
3,"Omega Medic",6,8.1%,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,2,,
3,"Shadow Word: Death",1,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
3,"Tar Creeper",28,37.8%,,1,1,2,1,1,1,1,1,2,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,2,2,,,
3,"Twilight Acolyte",72,97.3%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2
4,"Duskbreaker",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Scaleworm",38,51.4%,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,2,1,1,1,1,
4,"Twilight Drake",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Cobalt Scalebane",1,2.7%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Dragonmaw Scorcher",6,16.2%,,,,,,,,,,,1,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1
5,"Elise the Trailblazer",1,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
5,"Mass Hysteria",7,18.9%,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,
6,"Cabal Shadow Priest",66,89.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,,
6,"Holy Fire",43,58.1%,,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,2,2,
6,"Skulking Geist",1,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
7,"Archbishop Benedictus",2,5.4%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
7,"Crowd Roaster",13,17.6%,,1,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,2,,1,,,2
7,"Psychic Scream",74,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Primordial Drake",64,86.5%,,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,2,2,2,2
8,"Shadowreaper Anduin",37,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Alexstrasza",37,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Ysera",1,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
