,,,,,"klei"
1,"Kobold Librarian",2,100.0%,,2
2,"Defile",2,100.0%,,2
2,"Demonic Project",1,100.0%,,1
2,"Doomsayer",2,100.0%,,2
2,"Tainted Zealot",1,100.0%,,1
3,"Gluttonous Ooze",1,100.0%,,1
3,"Stonehill Defender",2,100.0%,,2
3,"Tar Creeper",1,100.0%,,1
3,"Zola the Gorgon",1,100.0%,,1
4,"Corpsetaker",2,100.0%,,2
4,"Hellfire",2,100.0%,,2
4,"Lesser Amethyst Spellstone",2,100.0%,,2
5,"Big Game Hunter",1,100.0%,,1
5,"Skull of the Man'ari",1,100.0%,,1
5,"Zilliax",1,100.0%,,1
6,"Mojomaster Zihi",1,100.0%,,1
6,"Rin, the First Disciple",1,100.0%,,1
6,"Siphon Soul",1,100.0%,,1
7,"Lord Godfrey",1,100.0%,,1
8,"Twisting Nether",1,100.0%,,1
9,"Voidlord",2,100.0%,,2
10,"Bloodreaver Gul'dan",1,100.0%,,1
