,,,,,"fibonacci#1545","Zamos#1260","Cheese#1805"
0,"Inner Rage",6,100.0%,,2,2,2
1,"Eternium Rover",6,100.0%,,2,2,2
1,"Shield Slam",6,100.0%,,2,2,2
1,"Town Crier",3,100.0%,,1,1,1
1,"Whirlwind",4,66.7%,,2,1,1
2,"Battle Rage",3,100.0%,,1,1,1
2,"Slam",4,66.7%,,1,2,1
2,"Warpath",6,100.0%,,2,2,2
2,"Weapons Project",5,83.3%,,2,2,1
3,"Acolyte of Pain",6,100.0%,,2,2,2
3,"Shield Block",6,100.0%,,2,2,2
4,"Blood Razor",4,66.7%,,1,1,2
4,"Militia Commander",3,100.0%,,1,1,1
5,"Brawl",3,100.0%,,1,1,1
5,"Dyn-o-matic",6,100.0%,,2,2,2
5,"Harrison Jones",3,100.0%,,1,1,1
5,"Zilliax",3,100.0%,,1,1,1
7,"Dr. Boom, Mad Genius",3,100.0%,,1,1,1
8,"Scourgelord Garrosh",1,33.3%,,,,1
9,"Malygos",3,100.0%,,1,1,1
9,"The Boomship",3,100.0%,,1,1,1
10,"Mecha'thun",3,100.0%,,1,1,1
