,,,,,"Firebat","Gallon","Purple","Zeh","Guiyze","TheChosenGuy"
1,"Righteous Protector",10,83.3%,,2,2,2,2,2,
2,"Bloodmage Thalnos",4,66.7%,,,1,1,1,1,
2,"Crystalsmith Kangor",4,66.7%,,1,1,1,1,,
2,"Crystology",1,16.7%,,,,,,,1
2,"Equality",12,100.0%,,2,2,2,2,2,2
2,"Hydrologist",2,16.7%,,,,,,,2
2,"Immortal Prelate",1,16.7%,,1,,,,,
2,"Loot Hoarder",9,75.0%,,1,2,2,2,2,
2,"Wild Pyromancer",12,100.0%,,2,2,2,2,2,2
3,"Aldor Peacekeeper",2,16.7%,,,,,,,2
3,"Gluttonous Ooze",1,16.7%,,,,,,,1
3,"Prince Taldaram",4,66.7%,,1,1,1,1,,
3,"Stonehill Defender",4,33.3%,,,,,,2,2
4,"Annoy-o-Module",2,16.7%,,,,,,,2
4,"Consecration",12,100.0%,,2,2,2,2,2,2
4,"Meat Wagon",6,100.0%,,1,1,1,1,1,1
4,"Spiritsinger Umbra",6,100.0%,,1,1,1,1,1,1
4,"Truesilver Champion",12,100.0%,,2,2,2,2,2,2
5,"Call to Arms",10,83.3%,,2,2,2,2,2,
5,"Carnivorous Cube",12,100.0%,,2,2,2,2,2,2
5,"Mechano-Egg",12,100.0%,,2,2,2,2,2,2
5,"Zilliax",6,100.0%,,1,1,1,1,1,1
6,"Spikeridged Steed",12,100.0%,,2,2,2,2,2,2
6,"Sunkeeper Tarim",6,100.0%,,1,1,1,1,1,1
7,"Kangor's Endless Army",6,100.0%,,1,1,1,1,1,1
8,"Lay on Hands",1,16.7%,,1,,,,,
9,"Uther of the Ebon Blade",6,100.0%,,1,1,1,1,1,1
25,"Shirvallah, the Tiger",5,83.3%,,1,1,1,1,1,
