,,,,,"Alan870806","Arden","bobbyex","cowboys367","Cydonia","ETC","lii","rayC ","Tarei","LuigEzz","Smokedsalmon","HotMEOWTH","Mazzu","Tincho","docpwn","Wrackle"
2,"Acidic Swamp Ooze",20,62.5%,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1
2,"Amani Berserker",2,12.5%,,,,,,,,,,,1,,,,1,,
2,"Argent Protector",28,87.5%,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2
2,"Crystalsmith Kangor",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Equality",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Hydrologist",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wild Pyromancer",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Blessing of Kings",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Consecration",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Corpsetaker",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Saronite Chain Gang",4,12.5%,,1,,,,,,,,,,1,,,,,2
4,"Spellbreaker",15,93.8%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,"Spirit of the Tiger",1,6.2%,,,,,,,,,,,,,,1,,,
4,"The Glass Knight",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"Truesilver Champion",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Argent Commander",1,6.2%,,,,,,,,,,,,,,,,1,
6,"Avenging Wrath",25,78.1%,,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,
6,"Genn Greymane",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Mojomaster Zihi",1,6.2%,,,1,,,,,,,,,,,,,,
6,"Spikeridged Steed",32,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Sunkeeper Tarim",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Val'anyr",14,87.5%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1
6,"Windfury Harpy",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Bonemare",1,6.2%,,,,,,,,,,,,,,,,,1
8,"The Lich King",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Tirion Fordring",16,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
