,,,,,"Arden","LuigEzz","docpwn","rayC ","Wrackle","Gallon","Kuonet","Purple","Qwerty97","SoLegit","zaguios","HotMEOWTH","caravaggio8","zlsjs","villain","ETC","Monsanto","Rami94","Itzvan","DeathstarV3","fibonacci","Cydonia","UchihaSaske","Firebat"
2,"Acidic Swamp Ooze",43,89.6%,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
2,"Defile",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Demonic Project",1,4.2%,,,,,,,,,,,,,,,,,,,,,,,,1,
2,"Doomsayer",27,56.2%,,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,,,,,,
2,"Plated Beetle",34,70.8%,,2,2,2,2,2,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,2
2,"Sunfury Protector",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Vulgar Homunculus",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Hellfire",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Hooked Reaver",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Lesser Amethyst Spellstone",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Shadowflame",1,4.2%,,,,,,,,,,,,,,,,,,,,,,1,,,
4,"Shroom Brewer",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Twilight Drake",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Dread Infernal",29,60.4%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1
6,"Genn Greymane",24,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Mojomaster Zihi",6,25.0%,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,
6,"Nerubian Unraveler",3,12.5%,,,,,,,,,,,1,,1,,,,,,,1,,,,,
6,"Rin, the First Disciple",1,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,1
6,"Skulking Geist",2,8.3%,,,,,,,,,,,,1,,,,,,,,,,,,,1
6,"The Black Knight",5,20.8%,,,,1,1,,,,,,,,,,,,,,,,1,,1,1,
8,"Bonemare",16,66.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,
8,"The Lich King",24,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"Bloodreaver Gul'dan",24,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,"Mountain Giant",48,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
