,,,,,"bloodyface","lnguagehackr","noblord","Zamos"
0,"Innervate",8,100.0%,,2,2,2,2
0,"Moonfire",8,100.0%,,2,2,2,2
0,"Pounce",8,100.0%,,2,2,2,2
1,"Barkskin",8,100.0%,,2,2,2,2
1,"Biology Project",8,100.0%,,2,2,2,2
1,"Earthen Scales",4,100.0%,,1,1,1,1
1,"Floop's Glorious Gloop",4,100.0%,,1,1,1,1
1,"Lesser Jasper Spellstone",8,100.0%,,2,2,2,2
1,"Naturalize",8,100.0%,,2,2,2,2
2,"Wild Growth",1,25.0%,,,,,1
2,"Wild Pyromancer",8,100.0%,,2,2,2,2
2,"Wrath",8,100.0%,,2,2,2,2
3,"Acolyte of Pain",8,100.0%,,2,2,2,2
3,"Ferocious Howl",8,100.0%,,2,2,2,2
4,"Branching Paths",7,87.5%,,2,2,2,1
6,"Gadgetzan Auctioneer",8,100.0%,,2,2,2,2
8,"King Togwaggle",4,100.0%,,1,1,1,1
10,"Hakkar, the Soulflayer",4,100.0%,,1,1,1,1
