,,,,,"Activelee","justsaiyan","amnesiac","DeathstarV3","muzzy","Nalguidan","PNC","Cesky","Fled","leomane","Rase","SargentoSC","lnguagehackr","bloodyface","noblord","Apxvoid","impact","Kevor24","Monsanto","Jay","fr0zen","InquisitorM","dog"
1,"Righteous Protector",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Baleful Banker",25,54.3%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
2,"Bloodmage Thalnos",22,95.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
2,"Crystalsmith Kangor",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Crystology",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Equality",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Flash of Light",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Loot Hoarder",2,4.3%,,,,,,,,,,,,,,,,,,,,,2,,,
2,"Novice Engineer",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Potion of Heroism",20,43.5%,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,,2,2,1
2,"Wild Pyromancer",44,95.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2
2,"Youthful Brewmaster",36,78.3%,,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,,
3,"Gluttonous Ooze",2,8.7%,,,,,,,,,,,,,,,,,1,,,,,,,1
3,"Time Out!",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Zola the Gorgon",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"Consecration",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Hammer of Wrath",18,39.1%,,1,1,,,,,,1,1,1,1,1,,,,,2,2,2,2,1,1,1
4,"Prismatic Lens",43,93.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2
4,"Truesilver Champion",17,73.9%,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,
5,"Holy Wrath",29,63.0%,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2
5,"Shrink Ray",18,78.3%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,
9,"Uther of the Ebon Blade",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"Shirvallah, the Tiger",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
