Player,Deck1,Deck2,Deck3,Deck4
"Activelee#1763","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"Akatsu#11192","Token Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"Alan870806#1754","Malygos Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"amnesiac#11705","Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue"
"Ant#1974","Token Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"Apxvoid#11872","Taunt Druid","Deathrattle Hunter","Even Warlock","Odd Warrior"
"Aviera#11169","Malygos Druid","Deathrattle Hunter","Shudderwock Shaman","Odd Warrior"
"BlasèBlasè#1557","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"bloodyface#1414","Malygos Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"bobbyex#1314","Token Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"caravaggio8#1983","Malygos Druid","Control Priest","Quest Rogue","Even Warlock"
"Cesky#1927","Token Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"Cheese#1805","OTK DK Paladin","Shudderwock Shaman","Mecha'thun Warlock","Control Warrior"
"Conrad#1201","Mill Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"control#1133","Token Druid","Midrange Hunter","Quest Rogue","Zoo Warlock"
"cowboys367#1568","Token Druid","Midrange Hunter","Odd Rogue","Even Warlock"
"Cydonia#1958","Token Druid","Shudderwock Shaman","Even Warlock","Odd Warrior"
"dog#1593","Taunt Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"ETC#11729","Mill Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"fibonacci#1545","Mill Druid","Control Priest","Even Warlock","Control Warrior"
"Firebat#1225","Token Druid","Midrange Hunter","Odd Rogue","Odd Warrior"
"Fled#1956","Taunt Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"fr0zen#1184","Taunt Druid","Deathrattle Hunter","Even Warlock","Odd Warrior"
"Gallon#11212","Token Druid","Midrange Hunter","Odd Rogue","Odd Warrior"
"Gladen#11397","Token Druid","Deathrattle Hunter","Shudderwock Shaman","Even Warlock"
"HockeyBoyz3#1228","Malygos Druid","Mecha'thun Priest","Mecha'thun Warlock","Mecha'thun Warrior"
"HotMEOWTH#1829","Taunt Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman"
"HSKeDaiBiao#1597","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"Ike#1171","Token Druid","Odd Rogue","Token Shaman","Even Warlock"
"InquisitorM#11490","Token Druid","Midrange Hunter","Odd Paladin","Control Priest"
"ironFIRE#11368","Taunt Druid","Deathrattle Hunter","Shudderwock Shaman","Cube Warlock"
"jakaso27#1154","Big Druid","Midrange Hunter","Even Warlock","Quest Warrior"
"Joaquin#1259","Tempo Mage","Odd Paladin","Odd Rogue","Zoo Warlock"
"Jonahrah#1226","Token Druid","Midrange Hunter","Quest Rogue","Zoo Warlock"
"Justine#1262","Token Druid","Control Priest","Even Warlock","Odd Warrior"
"justsaiyan#1493","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"Kevor24#1127","Midrange Hunter","Odd Rogue","Even Shaman","Even Warlock"
"killinallday#1537","Token Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"klei#11805","Control Priest","Quest Rogue","Cube Warlock","Odd Warrior"
"korextron#1532","Mill Druid","Control Priest","Odd Rogue","Even Warlock"
"Kuonet#1814","Taunt Druid","Deathrattle Hunter","Shudderwock Shaman","Even Warlock"
"lii#11987","Malygos Druid","Combo Priest","Odd Rogue","Even Warlock"
"lnguagehackr#1412","Taunt Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"Lyme#1767","Mill Druid","Midrange Hunter","Control Priest","Odd Warrior"
"Monsanto#1657","Malygos Druid","Tempo Mage","Quest Rogue","Even Warlock"
"muzzy#1105","Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue"
"Nalguidan#1733","Taunt Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"noblord#1509","Malygos Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"NoHandsGamer#1424","Token Druid","Spell Hunter","Control Priest","Odd Warrior"
"Nostam#1965","Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue"
"Ownerism#1396","Malygos Druid","Odd Rogue","Even Shaman","Even Warlock"
"Pal#1255","Token Druid","Odd Paladin","Odd Rogue","Odd Warrior"
"Pelletire#2479","Taunt Druid","Deathrattle Hunter","Quest Rogue","Cube Warlock"
"PNC#1102","Taunt Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"PrinceFancy#1443","Taunt Druid","Shudderwock Shaman","Control Warlock","Odd Warrior"
"Purple#1567","Token Druid","Midrange Hunter","Odd Rogue","Odd Warrior"
"Qwerty97#1908","Big Druid","Midrange Hunter","Even Warlock","Quest Warrior"
"Rase#1355","Taunt Druid","Deathrattle Hunter","Quest Rogue","Cube Warlock"
"Rosty#1208","Mill Druid","Spell Hunter","Control Priest","Odd Warrior"
"Ryder#12369","Big Druid","Midrange Hunter","Even Warlock","Quest Warrior"
"seiger#1577","Taunt Druid","Deathrattle Hunter","Quest Rogue","Even Warlock"
"seohyun628#1679","Taunt Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman"
"SnipedAgain#1736","Midrange Hunter","Tempo Mage","Odd Rogue","Zoo Warlock"
"Starfruit#1658","Token Druid","Midrange Hunter","Odd Rogue","Even Warlock"
"strifecro#1914","Token Druid","Deathrattle Hunter","Quest Rogue","Zoo Warlock"
"SwaggyG#1193","Token Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"Tarei#11497","Malygos Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"TheMaverick#1720","Mill Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman"
"Tincho#1287","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"UchihaSaske#11453","Mill Druid","Shudderwock Shaman","Even Warlock","Odd Warrior"
