,,,,,"Alan870806","Kevor24","topopablo11","N0lan"
0,"Innervate",7,87.5%,,1,2,2,2
0,"Moonfire",8,100.0%,,2,2,2,2
1,"Lesser Jasper Spellstone",8,100.0%,,2,2,2,2
1,"Naturalize",8,100.0%,,2,2,2,2
2,"Wild Growth",4,100.0%,,1,1,1,1
2,"Wrath",5,62.5%,,2,1,1,1
3,"Ferocious Howl",8,100.0%,,2,2,2,2
4,"Branching Paths",8,100.0%,,2,2,2,2
4,"Flobbidinous Floop",4,100.0%,,1,1,1,1
4,"Swipe",8,100.0%,,2,2,2,2
4,"Twig of the World Tree",4,100.0%,,1,1,1,1
5,"Arcane Tyrant",8,100.0%,,2,2,2,2
5,"Faceless Manipulator",1,25.0%,,,,,1
5,"Nourish",8,100.0%,,2,2,2,2
6,"Spreading Plague",8,100.0%,,2,2,2,2
7,"Dreampetal Florist",4,100.0%,,1,1,1,1
7,"Malfurion the Pestilent",4,100.0%,,1,1,1,1
9,"Alexstrasza",3,75.0%,,1,1,1,
9,"Malygos",4,100.0%,,1,1,1,1
10,"Ultimate Infestation",8,100.0%,,2,2,2,2
