,,,,,"Jay"
0,"Backstab",2,100.0%,,2
0,"Preparation",2,100.0%,,2
1,"Sinister Strike",2,100.0%,,2
2,"Cavern Shinyfinder",1,100.0%,,1
2,"Cheap Shot",1,100.0%,,1
2,"Evasion",1,100.0%,,1
2,"Eviscerate",2,100.0%,,2
2,"Razorpetal Volley",2,100.0%,,2
2,"Roll the Bones",1,100.0%,,1
2,"Sap",2,100.0%,,2
2,"Shiv",2,100.0%,,2
3,"Fan of Knives",2,100.0%,,2
3,"Necrium Blade",2,100.0%,,2
4,"Elven Minstrel",2,100.0%,,2
4,"Kobold Illusionist",1,100.0%,,1
5,"Necrium Vial",1,100.0%,,1
6,"Vanish",2,100.0%,,2
9,"Malygos",1,100.0%,,1
9,"Valeera the Hollow",1,100.0%,,1
