,,,,,"HockeyBoyz3#1228"
1,"Binding Heal",2,100.0%,,2
1,"Northshire Cleric",2,100.0%,,2
1,"Power Word: Shield",2,100.0%,,2
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Divine Hymn",2,100.0%,,2
2,"Doomsayer",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Shadow Visions",2,100.0%,,2
2,"Shadow Word: Pain",1,100.0%,,1
2,"Spirit Lash",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
3,"Acolyte of Pain",1,100.0%,,1
3,"Tar Creeper",1,100.0%,,1
4,"Ticking Abomination",2,100.0%,,2
5,"Reckless Experimenter",1,100.0%,,1
6,"Coffin Crasher",1,100.0%,,1
6,"Hemet, Jungle Hunter",1,100.0%,,1
7,"Psychic Scream",2,100.0%,,2
10,"Mecha'thun",1,100.0%,,1
