,,,,,"Jay"
1,"Awaken the Makers",1,100.0%,,1
1,"Power Word: Shield",1,100.0%,,1
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Dead Ringer",2,100.0%,,2
2,"Doomsayer",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Plated Beetle",2,100.0%,,2
2,"Seance",1,100.0%,,1
2,"Shadow Visions",2,100.0%,,2
2,"Spirit Lash",2,100.0%,,2
3,"Tar Creeper",2,100.0%,,2
3,"Twilight's Call",2,100.0%,,2
4,"Ticking Abomination",2,100.0%,,2
5,"Mass Hysteria",2,100.0%,,2
5,"Reckless Experimenter",1,100.0%,,1
6,"Coffin Crasher",1,100.0%,,1
6,"Hemet, Jungle Hunter",1,100.0%,,1
7,"Psychic Scream",2,100.0%,,2
10,"Mecha'thun",1,100.0%,,1
