,,,,,"Guiyze"
1,"Grimscale Oracle",2,100.0%,,2
1,"Murloc Raider",2,100.0%,,2
1,"Murloc Tidecaller",2,100.0%,,2
2,"Bluegill Warrior",2,100.0%,,2
2,"Book of Specters",2,100.0%,,2
2,"Frostbolt",2,100.0%,,2
2,"Murloc Tidehunter",2,100.0%,,2
2,"Rockpool Hunter",2,100.0%,,2
3,"Coldlight Seer",2,100.0%,,2
3,"Murloc Warleader",2,100.0%,,2
3,"Nightmare Amalgam",2,100.0%,,2
3,"Stargazer Luna",1,100.0%,,1
3,"Void Ripper",2,100.0%,,2
4,"Fireball",2,100.0%,,2
4,"Gentle Megasaur",2,100.0%,,2
6,"Aluneth",1,100.0%,,1
